"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"drumedar Internet-Entwicklungs-GmbH Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"21.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"44f04a1e6d81296f";"69399";"Wed Jul  8 23:34:15 2020"
"drumedar Internet-Entwicklungs-GmbH Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"04.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"fc6bb3d6ffb6da0b";"69399";"Wed Jul  8 23:34:15 2020"
"drumedar Internet-Entwicklungs-GmbH Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"29.01.2018";"97%";"0d747c0b2dd5781887ce3d83356491d9";"358cc85f57c735de";"69399";"Wed Jul  8 23:34:15 2020"
"drumedar Internet-Entwicklungs-GmbH Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"06.02.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"20a601545e62537d";"69399";"Wed Jul  8 23:34:15 2020"
"drumedar Internet-Entwicklungs-GmbH Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"24.01.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"368835a4cf0117eb";"69399";"Wed Jul  8 23:34:15 2020"
"drumedar Internet-Entwicklungs-GmbH Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"10.02.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"f5a7b89c35d9a2d3";"69399";"Wed Jul  8 23:34:15 2020"
"drumedar Internet-Entwicklungs-GmbH Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"02.12.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"5bf542b6f117cd0a";"69399";"Wed Jul  8 23:34:15 2020"
"drumedar Internet-Entwicklungs-GmbH Kempten (Allgäu)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"02.09.2009";"97%";"0d747c0b2dd5781887ce3d83356491d9";"97b41741434bb2e3";"69399";"Wed Jul  8 23:34:15 2020"
"drumedar Internet-Entwicklungs-GmbH Kempten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"09.12.2008";"97%";"0d747c0b2dd5781887ce3d83356491d9";"bf3617e16ef6b19e";"69399";"Wed Jul  8 23:34:15 2020"
"drumedar Internet-Entwicklungs-GmbH Kempten";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"18.12.2007";"97%";"0d747c0b2dd5781887ce3d83356491d9";"9c97c6486740ab48";"69399";"Wed Jul  8 23:34:15 2020"
