"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"easy-soft GmbH Dresden Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2017 bis zum 30.09.2018";"22.07.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9c024755a4eec7e4";"64252";"Wed Jul  8 23:37:30 2020"
"easy-soft GmbH Dresden Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2016 bis zum 30.09.2017";"30.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"6c498b39e9d97d4b";"64252";"Wed Jul  8 23:37:30 2020"
"easy-soft GmbH Dresden Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2015 bis zum 30.09.2016";"10.10.2017";"97%";"0d747c0b2dd5781887ce3d83356491d9";"4d750fb0700406b3";"64252";"Wed Jul  8 23:37:30 2020"
"easy-soft GmbH Dresden Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2014 bis zum 30.09.2015";"12.09.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"b2f0c85cd3e7831b";"64252";"Wed Jul  8 23:37:30 2020"
"easy-soft GmbH Dresden (vormals: easy-soft GmbH Dresden Computer Software Systementwicklung) Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2013 bis zum 30.09.2014";"04.09.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"3b0bad6cb69f6b44";"64252";"Wed Jul  8 23:37:30 2020"
"easy-soft GmbH Dresden Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2012 bis zum 30.09.2013";"30.07.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"25b3d76544027ded";"64252";"Wed Jul  8 23:37:30 2020"
"easy-soft GmbH Dresden Computer Software Systementwicklung Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2011 bis zum 30.09.2012";"07.10.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"a2e2a821071622dd";"64252";"Wed Jul  8 23:37:30 2020"
"easy-soft GmbH Dresden Computer Software Systementwicklung Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2010 bis zum 30.09.2011";"11.10.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"b5da0ebaf50e12b3";"64252";"Wed Jul  8 23:37:30 2020"
"easy-soft GmbH Dresden Computer Software Systementwicklung Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2009 bis zum 30.09.2010";"07.10.2011";"97%";"0d747c0b2dd5781887ce3d83356491d9";"56715d19db3a8417";"64252";"Wed Jul  8 23:37:30 2020"
"easy-soft GmbH Dresden Computer Software Systementwicklung Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2008 bis zum 30.09.2009";"15.06.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"d8ba885a934746a3";"64252";"Wed Jul  8 23:37:30 2020"
"easy-soft GmbH Dresden Computer Software Systementwicklung Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2007 bis zum 30.09.2008";"04.12.2009";"97%";"0d747c0b2dd5781887ce3d83356491d9";"f558b33db120ceee";"64252";"Wed Jul  8 23:37:30 2020"
"easy soft GmbH Dresden Dresden";"Rechnungslegung/ Finanzberichte";"» JAHRESABSCHLUSS zum 30. September 2006";"25.03.2008";"97%";"0d747c0b2dd5781887ce3d83356491d9";"e3b2de7c7e09bc5d";"64252";"Wed Jul  8 23:37:30 2020"
"easy-soft GmbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2006 bis zum 30.09.2007";"28.11.2008";"90%";"0d747c0b2dd5781887ce3d83356491d9";"5f11f0ea7a51f7a5";"64252";"Wed Jul  8 23:37:30 2020"
