"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"EKF Elektronik GmbH Hamm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"02.07.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"ebcf911f1a184a25";"41392";"Wed Jul  8 23:44:41 2020"
"EKF Elektronik GmbH Hamm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"30.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"f6558a66d35411a2";"41392";"Wed Jul  8 23:44:41 2020"
"EKF Elektronik GmbH Hamm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"17.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"8077f164391d53ee";"41392";"Wed Jul  8 23:44:41 2020"
"EKF Elektronik GmbH Hamm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"19.02.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"26d7ffafc8c5457d";"41392";"Wed Jul  8 23:44:41 2020"
"EKF Elektronik GmbH Hamm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"26.01.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"9c23f4a39feeb3b8";"41392";"Wed Jul  8 23:44:41 2020"
"EKF Elektronik GmbH Hamm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"12.11.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e6c8761b7dd7852e";"41392";"Wed Jul  8 23:44:41 2020"
"EKF Elektronik GmbH Hamm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"09.02.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"fee5a52fe1cfc645";"41392";"Wed Jul  8 23:44:41 2020"
"EKF Elektronik GmbH Hamm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"18.11.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"d67b512911611151";"41392";"Wed Jul  8 23:44:41 2020"
"EKF Elektronik GmbH Hamm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"14.08.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"d8c856e605db09d1";"41392";"Wed Jul  8 23:44:41 2020"
"EKF Elektronik GmbH Hamm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"14.02.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"4f77b34a94c6665f";"41392";"Wed Jul  8 23:44:41 2020"
"EKF Elektronik GmbH Hamm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"29.11.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"693ee2a4544e34a9";"41392";"Wed Jul  8 23:44:41 2020"
"EKF Elektronik GmbH Hamm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"19.02.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a5140c4a012c8dbc";"41392";"Wed Jul  8 23:44:41 2020"
"EKF Elektronik GmbH Hamm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"08.04.2009";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ea7c262d745e4c05";"41392";"Wed Jul  8 23:44:41 2020"
"EKF Elektronik GmbH Hamm";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2006";"14.04.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ab01f2ed6c7df185";"41392";"Wed Jul  8 23:44:41 2020"
