"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"evodion Information Technologies GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"07.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"1ee4b1e229ddd80e";"75044";"Wed Jul  8 23:28:49 2020"
"evodion Information Technologies GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"09.05.2018";"97%";"0d747c0b2dd5781887ce3d83356491d9";"ab4cf596a1f8984c";"75044";"Wed Jul  8 23:28:49 2020"
"evodion Information Technologies GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"06.02.2018";"97%";"0d747c0b2dd5781887ce3d83356491d9";"18576e8cb0988c68";"75044";"Wed Jul  8 23:28:49 2020"
"evodion Information Technologies GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"21.04.2016";"97%";"0d747c0b2dd5781887ce3d83356491d9";"6a30ed2e536ca638";"75044";"Wed Jul  8 23:28:49 2020"
"evodion Information Technologies GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"12.06.2015";"97%";"0d747c0b2dd5781887ce3d83356491d9";"9a7abebe388e6ce4";"75044";"Wed Jul  8 23:28:49 2020"
"evodion Information Technologies GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"22.04.2014";"97%";"0d747c0b2dd5781887ce3d83356491d9";"d312a61f89e66f71";"75044";"Wed Jul  8 23:28:49 2020"
"evodion Information Technologies GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"04.04.2013";"97%";"0d747c0b2dd5781887ce3d83356491d9";"c35f43659eab5e9b";"75044";"Wed Jul  8 23:28:49 2020"
"evodion Information Technologies GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"20.04.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"8c955d0b8f5edea0";"75044";"Wed Jul  8 23:28:49 2020"
"evodion Information Technologies GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"19.03.2012";"97%";"0d747c0b2dd5781887ce3d83356491d9";"168ebb07c9f7d57f";"75044";"Wed Jul  8 23:28:49 2020"
"evodion Information Technologies GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"22.07.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"cfd1d40606835d04";"75044";"Wed Jul  8 23:28:49 2020"
"evodion Information Technologies GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"07.01.2010";"97%";"0d747c0b2dd5781887ce3d83356491d9";"24a2033356e7bc57";"75044";"Wed Jul  8 23:28:49 2020"
"evodion Information Technologies GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"15.05.2008";"97%";"0d747c0b2dd5781887ce3d83356491d9";"3672567d2bbe4f70";"75044";"Wed Jul  8 23:28:49 2020"
"evodion Information Technologies GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"14.04.2008";"97%";"0d747c0b2dd5781887ce3d83356491d9";"8b9f509a772ce65b";"75044";"Wed Jul  8 23:28:49 2020"
