"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"firesys GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"19.05.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"cfa8ecb80b69d7d9";"43562";"Wed Jul  8 23:54:21 2020"
"firesys GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"18.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"978393b51ffa5fec";"43562";"Wed Jul  8 23:54:21 2020"
"firesys GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2017 bis zum 31.12.2017";"22.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"6dbe6e424009af4c";"43562";"Wed Jul  8 23:54:21 2020"
"firesys GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2016 bis zum 30.09.2017";"08.05.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"6ba4570a26761795";"43562";"Wed Jul  8 23:54:21 2020"
"firesys GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.10.2015 bis zum 30.09.2016";"13.02.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"05e74bbcd63aca72";"43562";"Wed Jul  8 23:54:21 2020"
"Volkswagen Bank Gesellschaft mit beschränkter Haftung Braunschweig";"Rechnungslegung/ Finanzberichte";"» Konzern Halbjahresfinanzbericht zum 30. Juni 2017 Berichtigung der Veröffentlichung vom 16.08.2017";"29.08.2017";"59%";"0d747c0b2dd5781887ce3d83356491d9";"6566b4d973135c0a";"43562";"Wed Jul  8 23:54:21 2020"
"Volkswagen Bank Gesellschaft mit beschränkter Haftung Braunschweig";"Rechnungslegung/ Finanzberichte";"» Konzern Halbjahresfinanzbericht zum 30. Juni 2017 Berichtigt am 29.08.2017";"16.08.2017";"59%";"0d747c0b2dd5781887ce3d83356491d9";"466850de49af2872";"43562";"Wed Jul  8 23:54:21 2020"
"Volkswagen Leasing Gesellschaft mit beschränkter Haftung Braunschweig";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2017";"15.08.2017";"59%";"0d747c0b2dd5781887ce3d83356491d9";"1710e02b3e29bb18";"43562";"Wed Jul  8 23:54:21 2020"
"SGL Carbon SE Wiesbaden";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 31. März 2017";"22.05.2018";"9%";"0d747c0b2dd5781887ce3d83356491d9";"66e5c7ab05d47726";"43562";"Wed Jul  8 23:54:21 2020"
"VOLKSWAGEN FINANCIAL SERVICES AKTIENGESELLSCHAFT Braunschweig";"Rechnungslegung/ Finanzberichte";"» Konzern Halbjahresfinanzbericht zum 30. Juni 2017 Berichtigung der Veröffentlichung vom 15.08.2017";"25.08.2017";"9%";"0d747c0b2dd5781887ce3d83356491d9";"e13abc36c81171e1";"43562";"Wed Jul  8 23:54:21 2020"
"VOLKSWAGEN FINANCIAL SERVICES AKTIENGESELLSCHAFT Braunschweig";"Rechnungslegung/ Finanzberichte";"» Konzern Halbjahresfinanzbericht zum 30. Juni 2017 Berichtigt am 25.08.2017";"15.08.2017";"9%";"0d747c0b2dd5781887ce3d83356491d9";"7915d641294fb28d";"43562";"Wed Jul  8 23:54:21 2020"
"RSE Grundbesitz und Beteiligungs-AG Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» RSE Konzern-Halbjahresfinanzbericht 2007";"30.08.2007";"9%";"0d747c0b2dd5781887ce3d83356491d9";"624669c0c1148de0";"43562";"Wed Jul  8 23:54:21 2020"
"YMOS AG Obertshausen";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht 2007";"29.08.2007";"9%";"0d747c0b2dd5781887ce3d83356491d9";"061c9c768db416f0";"43562";"Wed Jul  8 23:54:21 2020"
