"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"fpb AG Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"25.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"067d6eac8589695c";"96666";"Wed Jul  8 22:52:35 2020"
"fpb AG Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"14.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"65712fef89bae54c";"96666";"Wed Jul  8 22:52:35 2020"
"fpb AG Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"17.01.2018";"92%";"0d747c0b2dd5781887ce3d83356491d9";"c2179e99be2ca348";"96666";"Wed Jul  8 22:52:35 2020"
"fpb AG Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"05.01.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"b6f19ec18ec2a188";"96666";"Wed Jul  8 22:52:35 2020"
"fpb AG Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"19.01.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"3eebb263bfaffe0b";"96666";"Wed Jul  8 22:52:35 2020"
"FPB Aktiengesellschaft Homecare Beratung & Versorgung Bamberg";"Rechnungslegung/ Finanzberichte";"» Liquidationseröffnungsbilanz zum 22.03.2010";"12.05.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"b724dc82579d908a";"96666";"Wed Jul  8 22:52:35 2020"
"FPB Aktiengesellschaft Homecare Beratung & Versorgung Bamberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 21.03.2010";"08.04.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"4f2c1de802aef0c6";"96666";"Wed Jul  8 22:52:35 2020"
"fpb AG Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"31.03.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"204585f708b4c91f";"96666";"Wed Jul  8 22:52:35 2020"
"fpb AG Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"07.04.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"499e1c451a60b10d";"96666";"Wed Jul  8 22:52:35 2020"
"fpb AG Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011 Ergänzung der Veröffentlichung vom 13.03.2013";"16.04.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"c3a94a9573b2a071";"96666";"Wed Jul  8 22:52:35 2020"
