"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"hm-netzwerke GmbH Althengstett";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"04.11.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"5872d263331eef76";"59717";"Thu Jul  9 00:08:31 2020"
"hm-netzwerke GmbH Althengstett";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"30.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c44a57a69453cb12";"59717";"Thu Jul  9 00:08:31 2020"
"hm-netzwerke GmbH Althengstett";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"01.12.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"47500efd2ff702e6";"59717";"Thu Jul  9 00:08:31 2020"
"hm-netzwerke GmbH Althengstett";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"18.01.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"4bac5cca65ae967e";"59717";"Thu Jul  9 00:08:31 2020"
"hm-netzwerke GmbH   Althengstett (vormals: Weil der Stadt)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"04.01.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"5c711b1aa94acf37";"59717";"Thu Jul  9 00:08:31 2020"
"hm-netzwerke GmbH Althengstett (vormals: Weil der Stadt)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"29.01.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"dfc7d1e010198564";"59717";"Thu Jul  9 00:08:31 2020"
"hm-netzwerke GmbH Weil der Stadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"22.01.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"44056c68ba49f23f";"59717";"Thu Jul  9 00:08:31 2020"
"hm-netzwerke GmbH Weil der Stadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"11.01.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"2f7b7c21ea138e3f";"59717";"Thu Jul  9 00:08:31 2020"
"hm-netzwerke GmbH Weil der Stadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"10.02.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"67fbfa81046c808e";"59717";"Thu Jul  9 00:08:31 2020"
"hm-netzwerke GmbH Weil der Stadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"22.03.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"95760707d876d012";"59717";"Thu Jul  9 00:08:31 2020"
"hm-netzwerke GmbH Weil der Stadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"13.05.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"15ff27d2d28aef40";"59717";"Thu Jul  9 00:08:31 2020"
"hm-netzwerke GmbH Weil der Stadt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2006 bis zum 31.12.2006";"21.01.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"66a6367e13961534";"59717";"Thu Jul  9 00:08:31 2020"
