"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"imago medical GmbH Gelsenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"07.08.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a4ce0dc7ce497358";"27127";"Wed Jul  8 23:43:17 2020"
"imago medical GmbH Gelsenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"18.10.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"72a6e384601213d6";"27127";"Wed Jul  8 23:43:17 2020"
"imago medical GmbH Gelsenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"31.08.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"b793c041032ddf8c";"27127";"Wed Jul  8 23:43:17 2020"
"imago medical GmbH Gelsenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"10.06.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"6115e9dc3f85371a";"27127";"Wed Jul  8 23:43:17 2020"
"imago medical GmbH Gelsenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"24.05.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c7c87c36a85e7c0b";"27127";"Wed Jul  8 23:43:17 2020"
"imago medical GmbH Gelsenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"17.12.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"6a48346c5346e9fd";"27127";"Wed Jul  8 23:43:17 2020"
"imago medical GmbH Gelsenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"01.12.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"082c38b8ab0b0735";"27127";"Wed Jul  8 23:43:17 2020"
"imago medical GmbH Gelsenkirchen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"19.08.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"7d2fd8dc63ca4c1e";"27127";"Wed Jul  8 23:43:17 2020"
"imago medical GmbH Gelsenkirchen  (vormals: Wallenhorst)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"28.01.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d106f51956668ca5";"27127";"Wed Jul  8 23:43:17 2020"
"Imago Medical GmbH Wallenhorst";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"23.12.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"519d118f8e196897";"27127";"Wed Jul  8 23:43:17 2020"
"Imago Medical GmbH Wallenhorst";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"07.01.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"b568a2f4d307f633";"27127";"Wed Jul  8 23:43:17 2020"
