"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"inray Industriesoftware GmbH Schenefeld/Krs. Steinburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"11.07.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c30a192816277eac";"94551";"Thu Jul  9 00:05:17 2020"
"inray Industriesoftware GmbH Schenefeld/Krs. Steinburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"10.07.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"3e364e649bb7b565";"94551";"Thu Jul  9 00:05:17 2020"
"inray Industriesoftware GmbH Schenefeld/Krs. Steinburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"19.06.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"e6dd1c2b78255b3d";"94551";"Thu Jul  9 00:05:17 2020"
"inray Industriesoftware GmbH Schenefeld/Krs. Steinburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"23.05.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c1e2a33a7fc0f038";"94551";"Thu Jul  9 00:05:17 2020"
"inray Industriesoftware GmbH Schenefeld/Krs. Steinburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"03.07.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"2e78638535ca22fe";"94551";"Thu Jul  9 00:05:17 2020"
"inray Industriesoftware GmbH Schenefeld/Krs. Steinburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"06.06.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"ef652c7f700bde14";"94551";"Thu Jul  9 00:05:17 2020"
"inray Industriesoftware GmbH Schenefeld/Krs. Steinburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"08.07.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1d55cd4b7cd468d1";"94551";"Thu Jul  9 00:05:17 2020"
"inray Industriesoftware GmbH Schenefeld/Krs. Steinburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"05.06.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"fb36fe48b651d286";"94551";"Thu Jul  9 00:05:17 2020"
"inray Industriesoftware GmbH Schenefeld/Krs. Steinburg (vormals: Bokhorst)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"09.01.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c5606ce18b9814d6";"94551";"Thu Jul  9 00:05:17 2020"
"inray Industriesoftware GmbH Bokhorst";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"13.07.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"ee56e9702db16da5";"94551";"Thu Jul  9 00:05:17 2020"
"inray Industriesoftware GmbH Schenefeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"25.06.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"69e9968b88a30f4b";"94551";"Thu Jul  9 00:05:17 2020"
"inray Industriesoftware GmbH Schenefeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"23.03.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"ee3ec6a138d3f073";"94551";"Thu Jul  9 00:05:17 2020"
