"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"30.08.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"8193f70143e5097c";"31604";"Wed Jul  8 23:30:29 2020"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"07.08.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"17004e102b5febf9";"31604";"Wed Jul  8 23:30:29 2020"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"14.12.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ff6131566601c92c";"31604";"Wed Jul  8 23:30:29 2020"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"23.01.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"419839c438f32fda";"31604";"Wed Jul  8 23:30:29 2020"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"18.12.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"10488cf87068e578";"31604";"Wed Jul  8 23:30:29 2020"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"22.01.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ccb64fd8ec9f8893";"31604";"Wed Jul  8 23:30:29 2020"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"25.07.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"0d30f58e141dbe9e";"31604";"Wed Jul  8 23:30:29 2020"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"29.08.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"58a13c3b28fdef87";"31604";"Wed Jul  8 23:30:29 2020"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"13.12.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"2e91f3bd94f83a1a";"31604";"Wed Jul  8 23:30:29 2020"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"09.12.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"945f9487a7cf5c89";"31604";"Wed Jul  8 23:30:29 2020"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"24.06.2009";"92%";"0d747c0b2dd5781887ce3d83356491d9";"404aafab63c8a740";"31604";"Wed Jul  8 23:30:29 2020"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"14.07.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"14c496563e978b61";"31604";"Wed Jul  8 23:30:29 2020"
"itiso GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"31.01.2008";"92%";"0d747c0b2dd5781887ce3d83356491d9";"93af61000b81a787";"31604";"Wed Jul  8 23:30:29 2020"
