"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"kiecom GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.08.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b352afb787cad5f1";"10931";"Wed Jul  8 22:22:50 2020"
"kiecom GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"06.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"148cf89f9dfbcafc";"10931";"Wed Jul  8 22:22:50 2020"
"kiecom GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"07.12.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"f1cedd2f1b9096df";"10931";"Wed Jul  8 22:22:50 2020"
"kiecom GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"12.08.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"610198af37f58aad";"10931";"Wed Jul  8 22:22:50 2020"
"kiecom GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"14.10.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"6b721c5305ecb392";"10931";"Wed Jul  8 22:22:50 2020"
"kiecom GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"03.12.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"3a9921e21207f582";"10931";"Wed Jul  8 22:22:50 2020"
"kiecom GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"29.11.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"7bd99becd98f0340";"10931";"Wed Jul  8 22:22:50 2020"
"kiecom GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"27.12.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"d3bdc23ee347f098";"10931";"Wed Jul  8 22:22:50 2020"
"kiecom GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"21.12.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"9ca529398b60f9e7";"10931";"Wed Jul  8 22:22:50 2020"
"kiecom GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"17.09.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"46ef929ac27d3b88";"10931";"Wed Jul  8 22:22:50 2020"
