"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"kommIT Gesellschaft für Informationstechnik mit beschränkter Haftung Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"03.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"f09dac627eb9db72";"64592";"Thu Jul  9 00:16:53 2020"
"kommIT Gesellschaft für Informationstechnik mit beschränkter Haftung Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Berichtigung der Veröffentlichung vom 05.10.2018";"20.08.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"29354bf52f093afd";"64592";"Thu Jul  9 00:16:53 2020"
"kommIT Gesellschaft für Informationstechnik mit beschränkter Haftung Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Berichtigt am 20.08.2019";"05.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"41ea05f4a5b70620";"64592";"Thu Jul  9 00:16:53 2020"
"kommIT Gesellschaft für Informationstechnik mit beschränkter Haftung Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"16.10.2017";"99%";"0d747c0b2dd5781887ce3d83356491d9";"6f065533271213be";"64592";"Thu Jul  9 00:16:53 2020"
"kommIT Gesellschaft für Informationstechnik mit beschränkter Haftung Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"02.02.2017";"99%";"0d747c0b2dd5781887ce3d83356491d9";"2e54ba73bf407d05";"64592";"Thu Jul  9 00:16:53 2020"
"kommIT Gesellschaft für Informationstechnik mit beschränkter Haftung Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"14.10.2015";"99%";"0d747c0b2dd5781887ce3d83356491d9";"fb64e0147d5366bf";"64592";"Thu Jul  9 00:16:53 2020"
"kommIT Gesellschaft für Informationstechnik mit beschränkter Haftung Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"07.05.2014";"99%";"0d747c0b2dd5781887ce3d83356491d9";"288a1c6cb6ad433d";"64592";"Thu Jul  9 00:16:53 2020"
"kommIT Gesellschaft für Informationstechnik mit beschränkter Haftung Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"29.11.2013";"99%";"0d747c0b2dd5781887ce3d83356491d9";"462f7af50c8caef0";"64592";"Thu Jul  9 00:16:53 2020"
"kommIT Gesellschaft für Informationstechnik mit beschränkter Haftung Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"22.01.2013";"99%";"0d747c0b2dd5781887ce3d83356491d9";"00252f6884473388";"64592";"Thu Jul  9 00:16:53 2020"
"kommIT Gesellschaft für Informationstechnik mit beschränkter Haftung Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"30.12.2011";"99%";"0d747c0b2dd5781887ce3d83356491d9";"56ba8b4504e85b46";"64592";"Thu Jul  9 00:16:53 2020"
"kommIT Gesellschaft für Informationstechnik mit beschränkter Haftung Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"30.12.2010";"99%";"0d747c0b2dd5781887ce3d83356491d9";"9996db88d6a26f17";"64592";"Thu Jul  9 00:16:53 2020"
"kommIT Gesellschaft für Informationstechnik mit beschränkter Haftung Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"13.11.2009";"99%";"0d747c0b2dd5781887ce3d83356491d9";"98b88a663496df15";"64592";"Thu Jul  9 00:16:53 2020"
"kommIT Gesellschaft für Informationstechnik mit beschränkter Haftung Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"20.01.2009";"99%";"0d747c0b2dd5781887ce3d83356491d9";"decb0e9bec80f6c9";"64592";"Thu Jul  9 00:16:53 2020"
"kommIT Gesellschaft für Informationstechnik mit beschränkter Haftung Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"17.03.2008";"99%";"0d747c0b2dd5781887ce3d83356491d9";"f3d3e14d8bee1abe";"64592";"Thu Jul  9 00:16:53 2020"
