"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"krk EngineeringService GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"11.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"7909ff6d21b81146";"05945";"Wed Jul  8 23:11:54 2020"
"krk EngineeringService GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"10.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a188b15edbfba55e";"05945";"Wed Jul  8 23:11:54 2020"
"krk EngineeringService GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"08.03.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d6a52b7aad46ae1d";"05945";"Wed Jul  8 23:11:54 2020"
"krk EngineeringService GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"12.05.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"0b270f165df449f8";"05945";"Wed Jul  8 23:11:54 2020"
"krk EngineeringService GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"11.01.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"f4819753263f91e8";"05945";"Wed Jul  8 23:11:54 2020"
"krk EngineeringService GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"04.03.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"98e27dbf460b93d1";"05945";"Wed Jul  8 23:11:54 2020"
"krk EngineeringService GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"04.03.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"f78b666e07aa68bb";"05945";"Wed Jul  8 23:11:54 2020"
"krk EngineeringService GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"28.01.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"08cf686000c8dce1";"05945";"Wed Jul  8 23:11:54 2020"
"krk EngineeringService GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"12.03.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8d9811b36e0a339c";"05945";"Wed Jul  8 23:11:54 2020"
"krk EngineeringService GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"14.03.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8e857e58cf0f458a";"05945";"Wed Jul  8 23:11:54 2020"
"krk EngineeringService GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"19.02.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8747b95f22417a4c";"05945";"Wed Jul  8 23:11:54 2020"
"krk EngineeringService GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"04.03.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"7f340e8a7c575a94";"05945";"Wed Jul  8 23:11:54 2020"
"krk EngineeringService GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"06.02.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"ab0c8f55d6c6ad96";"05945";"Wed Jul  8 23:11:54 2020"
