"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"mentIQ GmbH Aschheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"15.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"8c372cc51d1444bb";"53126";"Thu Jul  9 00:13:15 2020"
"mentIQ GmbH Aschheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"18.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"f35d38869b21e48e";"53126";"Thu Jul  9 00:13:15 2020"
"mentIQ GmbH Aschheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"22.12.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"267e7e735b2284ba";"53126";"Thu Jul  9 00:13:15 2020"
"mentIQ GmbH Aschheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"18.11.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"73ac2ed297f7cd85";"53126";"Thu Jul  9 00:13:15 2020"
"mentIQ GmbH Aschheim (vormals: München)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"01.03.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"2214b26cd3757e5b";"53126";"Thu Jul  9 00:13:15 2020"
"mentIQ GmbH Aschheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"29.01.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a7e323261b9b0eef";"53126";"Thu Jul  9 00:13:15 2020"
"mentIQ GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"15.08.2013";"92%";"0d747c0b2dd5781887ce3d83356491d9";"9ffbea5d901cdbb1";"53126";"Thu Jul  9 00:13:15 2020"
"mentIQ GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"16.10.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"e6aa0144d9ab17cf";"53126";"Thu Jul  9 00:13:15 2020"
"mentIQ GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"01.02.2012";"92%";"0d747c0b2dd5781887ce3d83356491d9";"3d0c3f0077db6758";"53126";"Thu Jul  9 00:13:15 2020"
"mentIQ GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"24.01.2011";"92%";"0d747c0b2dd5781887ce3d83356491d9";"695cf2de13380f59";"53126";"Thu Jul  9 00:13:15 2020"
"mentIQ GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"29.01.2010";"92%";"0d747c0b2dd5781887ce3d83356491d9";"abffbb223f3fb490";"53126";"Thu Jul  9 00:13:15 2020"
"mentIQ GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.04.2007 bis zum 31.12.2007";"25.02.2009";"92%";"0d747c0b2dd5781887ce3d83356491d9";"fcdbf41b3ced0fd8";"53126";"Thu Jul  9 00:13:15 2020"
