"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"neu-itec GmbH Neubrandenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"08.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"c4da46fed333723e";"37305";"Thu Jul  9 00:04:07 2020"
"neu-itec GmbH Neubrandenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"02.08.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9d04dd6644bc2ccc";"37305";"Thu Jul  9 00:04:07 2020"
"neu-itec GmbH Neubrandenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"21.11.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"b248d19c70c238a0";"37305";"Thu Jul  9 00:04:07 2020"
"neu-itec GmbH Neubrandenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"08.09.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"5cd5431a74d59b6c";"37305";"Thu Jul  9 00:04:07 2020"
"neu-itec GmbH Neubrandenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"17.09.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"9936f5c7f624be43";"37305";"Thu Jul  9 00:04:07 2020"
"neu-itec GmbH Neubrandenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"24.11.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"22c8445cc1b883dd";"37305";"Thu Jul  9 00:04:07 2020"
"neu-itec GmbH Neubrandenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"27.08.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"44b0d83fae7b1fc1";"37305";"Thu Jul  9 00:04:07 2020"
"neu-itec GmbH Neubrandenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"12.10.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d49ff38e7a3b5e2e";"37305";"Thu Jul  9 00:04:07 2020"
"neu-itec GmbH Neubrandenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010 Ergänzung der Veröffentlichung vom 08.11.2011";"14.02.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"be1c4bb776162f84";"37305";"Thu Jul  9 00:04:07 2020"
"neu-itec GmbH Neubrandenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010 Ergänzt am 14.02.2012";"08.11.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"f74972ef3c4cf102";"37305";"Thu Jul  9 00:04:07 2020"
"neu-itec GmbH Neubrandenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"10.12.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"e3623a4fc441d2a9";"37305";"Thu Jul  9 00:04:07 2020"
"neu-itec GmbH Neubrandenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"27.10.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"64c5a7f39728372d";"37305";"Thu Jul  9 00:04:07 2020"
"neu-itec GmbH Neubrandenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007 Sprache(n) der Übersetzung(en): Deutsch";"04.09.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"33f69161eb56aa59";"37305";"Thu Jul  9 00:04:07 2020"
"neu-itec GmbH Neubrandenburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2006";"25.10.2007";"95%";"0d747c0b2dd5781887ce3d83356491d9";"37fc0511f162a308";"37305";"Thu Jul  9 00:04:07 2020"
