"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"LBS Landesbausparkasse Südwest Stuttgart";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"15.08.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"f342b61d90639e11";"90040";"Wed Jul  8 22:51:56 2020"
"Sparkasse Vorderpfalz Ludwigshafen";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"15.07.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"0f59b20d81a9f663";"90040";"Wed Jul  8 22:51:56 2020"
"LBS Landesbausparkasse Südwest Stuttgart";"Rechnungslegung/ Finanzberichte";"» Entsprechenserklärung zur Nutzung als nichtfinanzielle Erklärung im Sinne des CSR-Richtlinie-Umsetzungsgesetzes
                                          für das Jahr 2017";"07.09.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"deb964a1261ef60a";"90040";"Wed Jul  8 22:51:56 2020"
"Crown Alternative UCITS plc Dublin";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2013";"16.09.2013";"50%";"0d747c0b2dd5781887ce3d83356491d9";"c93a63824168595d";"90040";"Wed Jul  8 22:51:56 2020"
"TUI AG Hannover und Berlin";"Rechnungslegung/ Finanzberichte";"» Zwischenbericht 1. Oktober - 31. Dezember 2009 Berichtigung der Veröffentlichung vom 05.03.2010";"07.02.2011";"50%";"0d747c0b2dd5781887ce3d83356491d9";"11696174859e4e8a";"90040";"Wed Jul  8 22:51:56 2020"
"TUI AG Hannover und Berlin";"Rechnungslegung/ Finanzberichte";"» Zwischenbericht 1. Januar - 30. September 2008 Berichtigung der Veröffentlichung vom 02.01.2009";"07.02.2011";"50%";"0d747c0b2dd5781887ce3d83356491d9";"59e47875d8732001";"90040";"Wed Jul  8 22:51:56 2020"
"TUI AG Hannover und Berlin";"Rechnungslegung/ Finanzberichte";"» Zwischenbericht 1. Oktober 2009 - 30. Juni 2010 Berichtigung der Veröffentlichung vom 03.09.2010";"07.02.2011";"50%";"0d747c0b2dd5781887ce3d83356491d9";"3874e7cc50070b46";"90040";"Wed Jul  8 22:51:56 2020"
"TUI AG Hannover und Berlin";"Rechnungslegung/ Finanzberichte";"» Zwischenbericht 1. Oktober 2009 - 31. März 2010 Berichtigung der Veröffentlichung vom 23.06.2010";"07.02.2011";"50%";"0d747c0b2dd5781887ce3d83356491d9";"815fc646126dfcaa";"90040";"Wed Jul  8 22:51:56 2020"
"TUI AG Hannover und Berlin";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht Berichtigt am 07.02.2011";"03.09.2010";"50%";"0d747c0b2dd5781887ce3d83356491d9";"684a435b7874a027";"90040";"Wed Jul  8 22:51:56 2020"
"TUI AG Hannover und Berlin";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht 1. Oktober 2009 - 31. März 2010 Berichtigt am 07.02.2011";"23.06.2010";"50%";"0d747c0b2dd5781887ce3d83356491d9";"aef46ade27811538";"90040";"Wed Jul  8 22:51:56 2020"
"TUI AG Hannover und Berlin";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht Berichtigt am 07.02.2011";"05.03.2010";"50%";"0d747c0b2dd5781887ce3d83356491d9";"749f1d3302ddc2be";"90040";"Wed Jul  8 22:51:56 2020"
"TUI AG Hannover und Berlin";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht 2009";"28.08.2009";"50%";"0d747c0b2dd5781887ce3d83356491d9";"6d1c21731b23e306";"90040";"Wed Jul  8 22:51:56 2020"
"TUI AG Hannover und Berlin";"Rechnungslegung/ Finanzberichte";"» 1. Quartalsbericht 2009";"18.05.2009";"50%";"0d747c0b2dd5781887ce3d83356491d9";"7fe184740d8d87bd";"90040";"Wed Jul  8 22:51:56 2020"
"TUI AG Hannover und Berlin";"Rechnungslegung/ Finanzberichte";"» 3. Quartalsbericht 2008 Berichtigt am 07.02.2011";"02.01.2009";"50%";"0d747c0b2dd5781887ce3d83356491d9";"1ce95ea0673701c5";"90040";"Wed Jul  8 22:51:56 2020"
"SEB AG Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30.06.2008";"18.11.2008";"50%";"0d747c0b2dd5781887ce3d83356491d9";"d20559aa1366be40";"90040";"Wed Jul  8 22:51:56 2020"
"Pfleiderer Aktiengesellschaft Neumarkt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2007";"21.08.2007";"50%";"0d747c0b2dd5781887ce3d83356491d9";"e4e4e6a7d9802b6b";"90040";"Wed Jul  8 22:51:56 2020"
