"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 31.08.2019";"16.12.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"39bbef27e5d2f01e";"14681";"Wed Jul  8 22:42:23 2020"
"VERBIO Vereinigte BioEnergie AG Zörbig";"Rechnungslegung/ Finanzberichte";"» Nichtfinanzielle Erklärung zum Geschäftsjahr vom 01.07.2018 bis zum 30.06.2019";"06.11.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"caeac9cfea1e53bc";"14681";"Wed Jul  8 22:42:23 2020"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 31. August 2018";"06.11.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"0c73087771991b1b";"14681";"Wed Jul  8 22:42:23 2020"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 31. August 2017";"08.11.2017";"50%";"0d747c0b2dd5781887ce3d83356491d9";"fa5df938f810a7e9";"14681";"Wed Jul  8 22:42:23 2020"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Rechnungslegung/ Finanzberichte";"» Halbjahresbericht zum 31. August 2016";"26.10.2016";"50%";"0d747c0b2dd5781887ce3d83356491d9";"db0dab709b4e1438";"14681";"Wed Jul  8 22:42:23 2020"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Rechnungslegung/ Finanzberichte";"» Halbjahresbericht zum 31. August 2015 Berichtigung der Veröffentlichung vom 12.11.2015";"26.01.2016";"50%";"0d747c0b2dd5781887ce3d83356491d9";"ae900422c01a4d89";"14681";"Wed Jul  8 22:42:23 2020"
"iShares (DE) I Investmentaktiengesellschaft mit Teilgesellschaftsvermögen München";"Rechnungslegung/ Finanzberichte";"» Halbjahresbericht zum  31. August  2015 Berichtigt am 26.01.2016";"12.11.2015";"50%";"0d747c0b2dd5781887ce3d83356491d9";"b254a8cb7d9cc471";"14681";"Wed Jul  8 22:42:23 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2015";"02.10.2015";"50%";"0d747c0b2dd5781887ce3d83356491d9";"21bcbea82c1725e2";"14681";"Wed Jul  8 22:42:23 2020"
"Deutsche Börse Aktiengesellschaft Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2015";"01.10.2015";"50%";"0d747c0b2dd5781887ce3d83356491d9";"5ff32c6ed053c229";"14681";"Wed Jul  8 22:42:23 2020"
"GK Software AG Schöneck/Vogtl.";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 31.März 2015";"10.07.2015";"50%";"0d747c0b2dd5781887ce3d83356491d9";"22eddb2a30cb9151";"14681";"Wed Jul  8 22:42:23 2020"
