"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"HeidelbergCement AG Heidelberg";"Rechnungslegung/ Finanzberichte";"» Konzernzahlungsbericht zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"18.06.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"ac4c5b278349de11";"78973";"Wed Jul  8 22:24:26 2020"
"LANXESS Aktiengesellschaft Köln";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"27.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"81158f0054ce1c41";"78973";"Wed Jul  8 22:24:26 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2019";"24.10.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"17de5c0fd9da1137";"78973";"Wed Jul  8 22:24:26 2020"
"Sparkasse Neuss Neuss";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"04.10.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"b8f194a1373b4e6a";"78973";"Wed Jul  8 22:24:26 2020"
"Kreissparkasse Heinsberg - Zweckverbandssparkasse des Kreises Heinsberg und der Stadt
                                       Erkelenz - Erkelenz";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"22.08.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"2e403f33a96c7b25";"78973";"Wed Jul  8 22:24:26 2020"
"Kreissparkasse Reutlingen Reutlingen";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"13.08.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"689132fe08964e3e";"78973";"Wed Jul  8 22:24:26 2020"
"Barmenia Krankenversicherung a. G. Wuppertal";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"24.07.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"ea83d53a8d923ceb";"78973";"Wed Jul  8 22:24:26 2020"
"Barmenia Lebensversicherung a.G. Wuppertal";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"12.07.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"5a20751df6f307a2";"78973";"Wed Jul  8 22:24:26 2020"
"HeidelbergCement AG Heidelberg";"Rechnungslegung/ Finanzberichte";"» Konzernzahlungsbericht zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"28.06.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e624553bb6e66c98";"78973";"Wed Jul  8 22:24:26 2020"
"LANXESS Aktiengesellschaft Köln";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"13.05.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"62ac2982e5ee692d";"78973";"Wed Jul  8 22:24:26 2020"
"Sparkasse Neuss Neuss";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"07.12.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"430dff2efcd5cd76";"78973";"Wed Jul  8 22:24:26 2020"
"Sparkasse Leverkusen Leverkusen";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"31.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"e6067c03a727182f";"78973";"Wed Jul  8 22:24:26 2020"
"Stadtsparkasse Mönchengladbach Mönchengladbach";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"11.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"cb307439369826ba";"78973";"Wed Jul  8 22:24:26 2020"
"SEB AG Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2018";"11.10.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a060c0d86dcc736a";"78973";"Wed Jul  8 22:24:26 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2018";"31.08.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"581b77f4cbefab79";"78973";"Wed Jul  8 22:24:26 2020"
"Kreissparkasse Heinsberg - Zweckverbandssparkasse des Kreises Heinsberg und der Stadt
                                       Erkelenz - Erkelenz";"Rechnungslegung/ Finanzberichte";"» Nichtfinanzieller Bericht 2017";"08.08.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a2b837ba7bec7dea";"78973";"Wed Jul  8 22:24:26 2020"
"HeidelbergCement AG Heidelberg";"Rechnungslegung/ Finanzberichte";"» Konzernzahlungsbericht zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"06.08.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"76392e28896f7e72";"78973";"Wed Jul  8 22:24:26 2020"
"Barmenia Lebensversicherung a. G. Wuppertal";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"19.07.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"9a4d6def1b78b6e8";"78973";"Wed Jul  8 22:24:26 2020"
"Kreissparkasse Reutlingen Reutlingen";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"17.07.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"478e8e0bb47d3283";"78973";"Wed Jul  8 22:24:26 2020"
"Barmenia Krankenversicherung a. G. Wuppertal";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"11.07.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"57a3a902d33677e9";"78973";"Wed Jul  8 22:24:26 2020"
