"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"projektpartner management gmbh Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"03.01.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"72d86eb89c381d9f";"28819";"Wed Jul  8 22:48:54 2020"
"projektpartner management gmbh Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"27.12.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8247fe2d82904c3f";"28819";"Wed Jul  8 22:48:54 2020"
"projektpartner management gmbh Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"07.12.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"f42eb8a514c2f4b2";"28819";"Wed Jul  8 22:48:54 2020"
"projektpartner management gmbh Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"28.01.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"dc44e8c417393601";"28819";"Wed Jul  8 22:48:54 2020"
"projektpartner management gmbh Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"02.07.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"c989b9ef1544a622";"28819";"Wed Jul  8 22:48:54 2020"
"projektpartner management gmbh Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"19.12.2007";"95%";"0d747c0b2dd5781887ce3d83356491d9";"b13ccbd3458555e3";"28819";"Wed Jul  8 22:48:54 2020"
"Franz Haniel & Cie. GmbH Duisburg-Ruhrort";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2016";"13.09.2016";"45%";"0d747c0b2dd5781887ce3d83356491d9";"abc6e21310e2c3cb";"28819";"Wed Jul  8 22:48:54 2020"
"Kreissparkasse Heinsberg - Zweckverbandssparkasse des Kreises Heinsberg und der Stadt
                                       Erkelenz - Erkelenz";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"22.08.2019";"10%";"0d747c0b2dd5781887ce3d83356491d9";"128a8501af3ea344";"28819";"Wed Jul  8 22:48:54 2020"
"Kreissparkasse Heinsberg - Zweckverbandssparkasse des Kreises Heinsberg und der Stadt
                                       Erkelenz - Erkelenz";"Rechnungslegung/ Finanzberichte";"» Nichtfinanzieller Bericht 2017";"08.08.2018";"10%";"0d747c0b2dd5781887ce3d83356491d9";"0ad3553bb23c88c3";"28819";"Wed Jul  8 22:48:54 2020"
"Barmenia Lebensversicherung a. G. Wuppertal";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"19.07.2018";"10%";"0d747c0b2dd5781887ce3d83356491d9";"7fd8a05e6c310a56";"28819";"Wed Jul  8 22:48:54 2020"
"Barmenia Krankenversicherung a. G. Wuppertal";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"11.07.2018";"10%";"0d747c0b2dd5781887ce3d83356491d9";"0fb00f489d9949b5";"28819";"Wed Jul  8 22:48:54 2020"
"Medigene AG Planegg,  Ortsteil Martinsried";"Rechnungslegung/ Finanzberichte";"» QUARTALSFINANZBERICHT ZUM 30. SEPTEMBER 2014";"29.01.2015";"5%";"0d747c0b2dd5781887ce3d83356491d9";"88dfabfdd593490e";"28819";"Wed Jul  8 22:48:54 2020"
"Medigene AG Planegg,  Ortsteil Martinsried";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30.6.2014";"05.09.2014";"5%";"0d747c0b2dd5781887ce3d83356491d9";"ddd8491c5aac8754";"28819";"Wed Jul  8 22:48:54 2020"
"Vivacon AG Köln";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2013";"16.09.2013";"5%";"0d747c0b2dd5781887ce3d83356491d9";"b709727ca0dfe90c";"28819";"Wed Jul  8 22:48:54 2020"
"Energiekontor AG Bremen";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. 06. 2012";"24.09.2012";"5%";"0d747c0b2dd5781887ce3d83356491d9";"199d5f958e268658";"28819";"Wed Jul  8 22:48:54 2020"
"Mühlbauer Holding AG & Co. KGaA Roding";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht der Mühlbauer Holding AG & Co. KGaA zum  31.03.2011";"16.05.2011";"5%";"0d747c0b2dd5781887ce3d83356491d9";"ad2a26632da0a4cc";"28819";"Wed Jul  8 22:48:54 2020"
