"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"rising systems AG Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"20.01.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"fcdbd616c00d4776";"05745";"Wed Jul  8 23:42:50 2020"
"rising systems AG (vormals: rising systems networks GmbH) Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"06.08.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"37a7bfcc79bdda28";"05745";"Wed Jul  8 23:42:50 2020"
"technotrans AG Sassenberg";"Rechnungslegung/ Finanzberichte";"» Quarterly Financial Report at March 31, 2018";"23.05.2018";"45%";"0d747c0b2dd5781887ce3d83356491d9";"dc8ee7bf036c472f";"05745";"Wed Jul  8 23:42:50 2020"
"Bayer Aktiengesellschaft Leverkusen";"Rechnungslegung/ Finanzberichte";"» Financial Report as of September 30, 2008";"06.11.2008";"45%";"0d747c0b2dd5781887ce3d83356491d9";"db4a529ad7475cd8";"05745";"Wed Jul  8 23:42:50 2020"
"biolitec AG Jena";"Rechnungslegung/ Finanzberichte";"» 9 Months Report 2007/2008";"22.08.2008";"45%";"0d747c0b2dd5781887ce3d83356491d9";"3267c1ea8ed16560";"05745";"Wed Jul  8 23:42:50 2020"
"Wacker Chemie AG München";"Rechnungslegung/ Finanzberichte";"» Bericht über das 3. Quartal 2007";"04.02.2008";"45%";"0d747c0b2dd5781887ce3d83356491d9";"dd2cb34d12be21a1";"05745";"Wed Jul  8 23:42:50 2020"
"biolitec AG Jena";"Rechnungslegung/ Finanzberichte";"» 3 Monatsbericht 2007/2008";"04.02.2008";"45%";"0d747c0b2dd5781887ce3d83356491d9";"c589401f43231aa5";"05745";"Wed Jul  8 23:42:50 2020"
"KUKA AG Augsburg";"Rechnungslegung/ Finanzberichte";"» Group`s interim report to June 30, 2007";"04.10.2007";"45%";"0d747c0b2dd5781887ce3d83356491d9";"1c5d97744a0c11ee";"05745";"Wed Jul  8 23:42:50 2020"
"Sunways AG Konstanz";"Rechnungslegung/ Finanzberichte";"» Quarterly Report II/2007 (April - June 2007)";"29.08.2007";"45%";"0d747c0b2dd5781887ce3d83356491d9";"caa1be652dbfe79a";"05745";"Wed Jul  8 23:42:50 2020"
"biolitec AG Jena";"Rechnungslegung/ Finanzberichte";"» Konzern-Quartalsbericht vom 1. Juli 2006 bis zum 31. März 2007";"29.08.2007";"45%";"0d747c0b2dd5781887ce3d83356491d9";"d1fffed5676057c1";"05745";"Wed Jul  8 23:42:50 2020"
"Wacker Chemie AG München";"Rechnungslegung/ Finanzberichte";"» Verkürzter Konzernzwischenabschluss zum 30. Juni 2007";"28.08.2007";"45%";"0d747c0b2dd5781887ce3d83356491d9";"d217d6d58d671842";"05745";"Wed Jul  8 23:42:50 2020"
"biolitec AG Jena";"Rechnungslegung/ Finanzberichte";"» 6 Monatsbericht 2006/2007";"28.03.2007";"45%";"0d747c0b2dd5781887ce3d83356491d9";"1995cd7c4a7c464e";"05745";"Wed Jul  8 23:42:50 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2019";"24.10.2019";"10%";"0d747c0b2dd5781887ce3d83356491d9";"e2a3978e32f59728";"05745";"Wed Jul  8 23:42:50 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2018";"31.08.2018";"10%";"0d747c0b2dd5781887ce3d83356491d9";"b06d318144215de8";"05745";"Wed Jul  8 23:42:50 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2017";"29.12.2017";"5%";"0d747c0b2dd5781887ce3d83356491d9";"e3b3561b0d6408c1";"05745";"Wed Jul  8 23:42:50 2020"
"CPI PROPERTY GROUP Luxembourg";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2017";"21.09.2017";"5%";"0d747c0b2dd5781887ce3d83356491d9";"fe19a08acb50afb8";"05745";"Wed Jul  8 23:42:50 2020"
"Landesbank Baden-Württemberg Stuttgart";"Rechnungslegung/ Finanzberichte";"» Half-yearly financial report 2014";"13.04.2017";"5%";"0d747c0b2dd5781887ce3d83356491d9";"3c42aeab04f2f901";"05745";"Wed Jul  8 23:42:50 2020"
"Landesbank Baden-Württemberg Stuttgart";"Rechnungslegung/ Finanzberichte";"» Half-yearly financial report 2015";"13.04.2017";"5%";"0d747c0b2dd5781887ce3d83356491d9";"584e09496a4e7761";"05745";"Wed Jul  8 23:42:50 2020"
