"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"saga Hard- und Software GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"11.03.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"adacbf44db145f86";"72817";"Wed Jul  8 23:27:29 2020"
"saga Hard- und Software GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"12.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"7e193b22e0ef9d59";"72817";"Wed Jul  8 23:27:29 2020"
"saga Hard- und Software GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"03.01.2018";"98%";"0d747c0b2dd5781887ce3d83356491d9";"6b2060a9b3536c7f";"72817";"Wed Jul  8 23:27:29 2020"
"saga Hard- und Software GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"11.01.2017";"98%";"0d747c0b2dd5781887ce3d83356491d9";"ec5b0b6b0c180ee1";"72817";"Wed Jul  8 23:27:29 2020"
"saga Hard- und Software GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"11.09.2015";"98%";"0d747c0b2dd5781887ce3d83356491d9";"fd7af58f83426cdc";"72817";"Wed Jul  8 23:27:29 2020"
"saga Hard- und Software GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"26.01.2015";"98%";"0d747c0b2dd5781887ce3d83356491d9";"3230340255415fcd";"72817";"Wed Jul  8 23:27:29 2020"
"saga Hard- und Software GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"07.01.2014";"98%";"0d747c0b2dd5781887ce3d83356491d9";"be287e1ade3badb8";"72817";"Wed Jul  8 23:27:29 2020"
"saga Hard- und Software GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"31.01.2013";"98%";"0d747c0b2dd5781887ce3d83356491d9";"435c534bf8bd8792";"72817";"Wed Jul  8 23:27:29 2020"
"saga Hard- und Software GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"06.12.2011";"98%";"0d747c0b2dd5781887ce3d83356491d9";"7312980ca4db9368";"72817";"Wed Jul  8 23:27:29 2020"
"saga Hard- und Software GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"31.03.2011";"98%";"0d747c0b2dd5781887ce3d83356491d9";"bc8b3d659ecad806";"72817";"Wed Jul  8 23:27:29 2020"
"saga Hard- und Software GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"22.03.2010";"98%";"0d747c0b2dd5781887ce3d83356491d9";"9e424cafcddbb26b";"72817";"Wed Jul  8 23:27:29 2020"
"saga Hard- und Software GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"27.02.2009";"98%";"0d747c0b2dd5781887ce3d83356491d9";"5a67de37bac790ef";"72817";"Wed Jul  8 23:27:29 2020"
"Saga Hard- und Software GmbH Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2006 bis zum 31.12.2006";"11.12.2008";"98%";"0d747c0b2dd5781887ce3d83356491d9";"cd62d999d7a53eec";"72817";"Wed Jul  8 23:27:29 2020"
