"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Teampoint Köln GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"03.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"a7d198810e55bcbe";"95377";"Thu Jul  9 00:05:38 2020"
"Teampoint Köln GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"23.01.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"1f4a377ff18c509b";"95377";"Thu Jul  9 00:05:38 2020"
"Teampoint Köln GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"06.02.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"193b6afb8fbc68b0";"95377";"Thu Jul  9 00:05:38 2020"
"Teampoint Köln GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"02.01.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"40f1a84b8e53068a";"95377";"Thu Jul  9 00:05:38 2020"
"Teampoint Köln GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"11.01.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"51a23355ad240163";"95377";"Thu Jul  9 00:05:38 2020"
"Teampoint Köln GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"02.02.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"a5f3ce17767ad5a0";"95377";"Thu Jul  9 00:05:38 2020"
"Teampoint Köln GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"09.01.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"467469b400b2a750";"95377";"Thu Jul  9 00:05:38 2020"
"Teampoint Köln GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"09.01.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"d79a728a5e7b8997";"95377";"Thu Jul  9 00:05:38 2020"
"Teampoint Köln GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"30.12.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"de7ecceca51e801e";"95377";"Thu Jul  9 00:05:38 2020"
"Teampoint Köln GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"08.11.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"2d667c14ba102def";"95377";"Thu Jul  9 00:05:38 2020"
"Teampoint Köln GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"05.02.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"7fe4765641ec3267";"95377";"Thu Jul  9 00:05:38 2020"
"Teampoint Köln GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"15.01.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"8231a5bf63fa2529";"95377";"Thu Jul  9 00:05:38 2020"
"Teampoint Köln GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"17.01.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"e5a571ad46ea7ad8";"95377";"Thu Jul  9 00:05:38 2020"
