"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"ttt-it AG Trier";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"19.02.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"6c881121cd7d59c8";"12107";"Wed Jul  8 23:30:03 2020"
"ttt-it AG Trier";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"07.02.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"d129b523d0cc17a1";"12107";"Wed Jul  8 23:30:03 2020"
"ttt-it AG Trier";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"15.02.2018";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1348be47d7fc08f8";"12107";"Wed Jul  8 23:30:03 2020"
"ttt-it AG Trier";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"10.01.2017";"95%";"0d747c0b2dd5781887ce3d83356491d9";"39bdc497ea5098f0";"12107";"Wed Jul  8 23:30:03 2020"
"ttt-it AG Trier";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"17.02.2016";"95%";"0d747c0b2dd5781887ce3d83356491d9";"bb714ad92248bfc9";"12107";"Wed Jul  8 23:30:03 2020"
"ttt-it AG Trier";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"26.01.2015";"95%";"0d747c0b2dd5781887ce3d83356491d9";"7046a7978b8714c6";"12107";"Wed Jul  8 23:30:03 2020"
"ttt-it AG Trier";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"17.02.2014";"95%";"0d747c0b2dd5781887ce3d83356491d9";"2ba171b3a2c40819";"12107";"Wed Jul  8 23:30:03 2020"
"ttt-it AG Trier";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"15.01.2013";"95%";"0d747c0b2dd5781887ce3d83356491d9";"5833cdc596a6e498";"12107";"Wed Jul  8 23:30:03 2020"
"ttt-it AG Trier";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"13.01.2012";"95%";"0d747c0b2dd5781887ce3d83356491d9";"48c2ea7df8f389f4";"12107";"Wed Jul  8 23:30:03 2020"
"ttt-it AG Trier";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"17.01.2011";"95%";"0d747c0b2dd5781887ce3d83356491d9";"1b5e43fb80e17cfa";"12107";"Wed Jul  8 23:30:03 2020"
"ttt-it AG Trier";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"28.01.2010";"95%";"0d747c0b2dd5781887ce3d83356491d9";"6f66032908f3611d";"12107";"Wed Jul  8 23:30:03 2020"
"ttt-it AG Trier";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"05.08.2009";"95%";"0d747c0b2dd5781887ce3d83356491d9";"2a140837fd6a5e99";"12107";"Wed Jul  8 23:30:03 2020"
"ttt-it AG Trier";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"04.07.2008";"95%";"0d747c0b2dd5781887ce3d83356491d9";"253b436cc8340500";"12107";"Wed Jul  8 23:30:03 2020"
