"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"voxpark GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2018 bis zum 30.06.2019";"03.04.2020";"100%";"0d747c0b2dd5781887ce3d83356491d9";"565c985216b738e5";"47517";"Wed Jul  8 23:04:31 2020"
"voxpark GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2017 bis zum 30.06.2018";"13.11.2019";"100%";"0d747c0b2dd5781887ce3d83356491d9";"f4ff363271f8a682";"47517";"Wed Jul  8 23:04:31 2020"
"voxpark GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2016 bis zum 30.06.2017";"24.09.2018";"100%";"0d747c0b2dd5781887ce3d83356491d9";"4165a0cc6f39fed8";"47517";"Wed Jul  8 23:04:31 2020"
"voxpark GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2015 bis zum 30.06.2016";"04.01.2017";"92%";"0d747c0b2dd5781887ce3d83356491d9";"a51f667899114d99";"47517";"Wed Jul  8 23:04:31 2020"
"voxpark GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2014 bis zum 30.06.2015";"04.07.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"ba40af992c0fc396";"47517";"Wed Jul  8 23:04:31 2020"
"voxpark GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2013 bis zum 30.06.2014 Berichtigung der Veröffentlichung vom 23.09.2015";"09.03.2016";"92%";"0d747c0b2dd5781887ce3d83356491d9";"55f74bc4e21cb371";"47517";"Wed Jul  8 23:04:31 2020"
"voxpark GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2013 bis zum 30.06.2014 Berichtigt am 09.03.2016";"23.09.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"b1f640bf79852e7f";"47517";"Wed Jul  8 23:04:31 2020"
"voxpark GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2012 bis zum 30.06.2013 Berichtigung der Veröffentlichung vom 16.10.2014";"10.08.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"c5771a246afd70dc";"47517";"Wed Jul  8 23:04:31 2020"
"voxpark GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2011 bis zum 30.06.2012 Berichtigung der Veröffentlichung vom 21.10.2014";"10.08.2015";"92%";"0d747c0b2dd5781887ce3d83356491d9";"17fc42d666651ac7";"47517";"Wed Jul  8 23:04:31 2020"
"voxpark GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2011 bis zum 30.06.2012 Berichtigung der Veröffentlichung vom 25.09.2013 Berichtigt am 10.08.2015";"21.10.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"879031dc993fba8a";"47517";"Wed Jul  8 23:04:31 2020"
"voxpark GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2012 bis zum 30.06.2013 Berichtigt am 10.08.2015";"16.10.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"d91865e7c6a890a6";"47517";"Wed Jul  8 23:04:31 2020"
"voxpark GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2010 bis zum 30.06.2011 Berichtigung der Veröffentlichung vom 25.09.2013";"16.10.2014";"92%";"0d747c0b2dd5781887ce3d83356491d9";"19a9a29baac0e32f";"47517";"Wed Jul  8 23:04:31 2020"
