"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"ARAG Allgemeine Versicherungs-Aktiengesellschaft Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"25.06.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"9c959b04492ac1e3";"52536";"Tue Jul 14 15:53:33 2020"
"ARAG Allgemeine Versicherungs-Aktiengesellschaft Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"16.07.2018";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"67859888b0e779e1";"52536";"Tue Jul 14 15:53:33 2020"
"ARAG Allgemeine Versicherungs-Aktiengesellschaft Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"02.11.2017";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"37c3e322ce5f354c";"52536";"Tue Jul 14 15:53:33 2020"
"ARAG Allgemeine Versicherungs-Aktiengesellschaft Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"23.08.2016";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"c4573e657e479f68";"52536";"Tue Jul 14 15:53:33 2020"
"ARAG Allgemeine Versicherungs-Aktiengesellschaft Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"10.11.2015";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"514a83d886bfaa1f";"52536";"Tue Jul 14 15:53:33 2020"
"ARAG Allgemeine Versicherungs-Aktiengesellschaft Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"13.08.2014";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"3b20ddcb22a9f4b5";"52536";"Tue Jul 14 15:53:33 2020"
"ARAG Allgemeine Versicherungs-Aktiengesellschaft Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"02.08.2013";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"bf20bb4b24e5e5ab";"52536";"Tue Jul 14 15:53:33 2020"
"ARAG SE (vormals: ARAG Allgemeine Rechtsschutz-Versicherungs-Aktiengesellschaft) Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"03.08.2012";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"7d8f95d184826f48";"52536";"Tue Jul 14 15:53:33 2020"
"ARAG Allgemeine Versicherungs-Aktiengesellschaft Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"23.07.2012";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"7fd45a3697c254c0";"52536";"Tue Jul 14 15:53:33 2020"
"ARAG Allgemeine Rechtsschutz-Versicherungs-Aktiengesellschaft Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"19.08.2011";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"d17e9cec4c86d96c";"52536";"Tue Jul 14 15:53:33 2020"
"ARAG Allgemeine Versicherungs-Aktiengesellschaft Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"13.07.2011";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"e9d8dc8622eb6395";"52536";"Tue Jul 14 15:53:33 2020"
"ARAG Allgemeine Rechtsschutz-Versicherungs-Aktiengesellschaft Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"19.07.2010";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"6d88fcd4a801423b";"52536";"Tue Jul 14 15:53:33 2020"
"ARAG Allgemeine Versicherungs-Aktiengesellschaft Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"13.07.2010";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"243a2be9cba536ba";"52536";"Tue Jul 14 15:53:33 2020"
"ARAG Allgemeine Rechtsschutz-Versicherungs-Aktiengesellschaft Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"25.08.2009";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"085aaf224b19b5ee";"52536";"Tue Jul 14 15:53:33 2020"
"ARAG Allgemeine Versicherungs-Aktiengesellschaft Düsseldorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"06.08.2009";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"daa28685f9333f32";"52536";"Tue Jul 14 15:53:33 2020"
