"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"ASSUM GmbH Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"03.09.2015";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"e12d847fc086ca57";"59390";"Wed Jul 15 20:17:11 2020"
"ASSUM GmbH Duisburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"13.01.2014";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"cc26eb4cabca73c9";"59390";"Wed Jul 15 20:17:11 2020"
"Zimmerei Hubert Assum GmbH Neusäß";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"17.01.2013";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"6a50d0b9f14afcf0";"59390";"Wed Jul 15 20:17:11 2020"
"Zimmerei Hubert Assum GmbH Neusäß";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"23.01.2012";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"26fa7aded7b77f5e";"59390";"Wed Jul 15 20:17:11 2020"
"Zimmerei Hubert Assum GmbH Neusäß";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"10.01.2011";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"d2da8bcd37fab6eb";"59390";"Wed Jul 15 20:17:11 2020"
"Zimmerei Hubert Assum GmbH Neusäß";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"14.01.2010";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"1449429efbe9123b";"59390";"Wed Jul 15 20:17:11 2020"
"assum - Gesellschaft für Immobilienmanagement und Finanzierungslösungen mbH Bad Sobernheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"27.08.2009";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"a3359e15e8f81aff";"59390";"Wed Jul 15 20:17:11 2020"
"Zimmerei Hubert Assum GmbH Neusäß";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"20.01.2009";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"9909153352235e68";"59390";"Wed Jul 15 20:17:11 2020"
"assum GmbH Bad Sobernheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"12.12.2008";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"62d35f28ae26af30";"59390";"Wed Jul 15 20:17:11 2020"
"Zimmerei Hubert Assum GmbH Neusäß";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"12.12.2007";"92%";"9f640089e0eb51d0473f169a5e9dfb07";"14f17ee0247f0a12";"59390";"Wed Jul 15 20:17:11 2020"
"AIRE GmbH & Co. KGaA Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2009";"15.09.2009";"59%";"9f640089e0eb51d0473f169a5e9dfb07";"299a0ba78b41d181";"59390";"Wed Jul 15 20:17:11 2020"
"AIG International Real Estate GmbH & Co. KGaA Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 31. März 2009";"20.08.2009";"59%";"9f640089e0eb51d0473f169a5e9dfb07";"fafcb0ff6f16ab63";"59390";"Wed Jul 15 20:17:11 2020"
"AIG International Real Estate GmbH & Co. KGaA Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht zum 30.09.2008";"04.03.2009";"59%";"9f640089e0eb51d0473f169a5e9dfb07";"72de3c211d45f060";"59390";"Wed Jul 15 20:17:11 2020"
"AIG International Real Estate GmbH & Co. KGaA Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30.06.2008";"19.11.2008";"59%";"9f640089e0eb51d0473f169a5e9dfb07";"c59a2f38c3353620";"59390";"Wed Jul 15 20:17:11 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2019";"24.10.2019";"17%";"9f640089e0eb51d0473f169a5e9dfb07";"3410eccb23650a09";"59390";"Wed Jul 15 20:17:11 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2018";"31.08.2018";"17%";"9f640089e0eb51d0473f169a5e9dfb07";"2bd3001f6d3221f0";"59390";"Wed Jul 15 20:17:11 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2017";"29.12.2017";"9%";"9f640089e0eb51d0473f169a5e9dfb07";"3360cfa63f519115";"59390";"Wed Jul 15 20:17:11 2020"
"CPI PROPERTY GROUP Luxembourg";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2017";"21.09.2017";"9%";"9f640089e0eb51d0473f169a5e9dfb07";"93ca4390d75ecdf9";"59390";"Wed Jul 15 20:17:11 2020"
"Landesbank Baden-Württemberg Stuttgart";"Rechnungslegung/ Finanzberichte";"» Half-yearly financial report 2014";"13.04.2017";"9%";"9f640089e0eb51d0473f169a5e9dfb07";"94f894f7fcdbb4c4";"59390";"Wed Jul 15 20:17:11 2020"
"Landesbank Baden-Württemberg Stuttgart";"Rechnungslegung/ Finanzberichte";"» Half-yearly financial report 2015";"13.04.2017";"9%";"9f640089e0eb51d0473f169a5e9dfb07";"c44bc92b2e97909e";"59390";"Wed Jul 15 20:17:11 2020"
