"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Aurelius Digital Ventures UG (haftungsbeschränkt) Hardthausen am Kocher";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"24.06.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"3fa7235cf4dd6f84";"47353";"Tue Jul 14 10:51:27 2020"
"AURELIUS Real Estate Investments GmbH Grünwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"17.06.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"b3463af219a57f1d";"47353";"Tue Jul 14 10:51:27 2020"
"AURELIUS Equity Opportunities SE & Co. KGaA Grünwald";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"09.06.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"74f88b326e58da56";"47353";"Tue Jul 14 10:51:27 2020"
"Hanse (Deutschland) Vertriebs GmbH & Co.KG, Greifswald";"Tue Jul 14 10:51:27 2020";"";"";"";"";"";"";""
"AURELIUS Equity Opportunities SE & Co. KGaA Grünwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"14.05.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"e34357431c21c68e";"47353";"Tue Jul 14 10:51:27 2020"
"Roundliner Holding GmbH (vormals: AURELIUS WK Six GmbH) Grünwald";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Berichtigung der Veröffentlichung vom 02.12.2019";"24.04.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"8e49b9eba8a89df4";"47353";"Tue Jul 14 10:51:27 2020"
"AURELIUS APARTMENTS UG (haftungsbeschränkt) Lahr";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"20.04.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"bc1e8b65b76aa129";"47353";"Tue Jul 14 10:51:27 2020"
"AURELIUS Wachstumskapital SE & Co. KG Grünwald,  Landkreis München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"25.03.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"843b51fd900f76eb";"47353";"Tue Jul 14 10:51:27 2020"
"Aurelius Verwaltungsgesellschaft mbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"25.03.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"67c5bf4e2730337b";"47353";"Tue Jul 14 10:51:27 2020"
"Aurelius Digital Ventures UG (haftungsbeschränkt) Hardthausen am Kocher";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"04.03.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"82f91eb0af21f94e";"47353";"Tue Jul 14 10:51:27 2020"
