"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Avision GmbH Oberhaching";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"08.04.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"df197a69698dc51c";"41904";"Thu Jul 16 10:32:58 2020"
"Avision Europe GmbH Krefeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.03.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"b52b432c34a3a5ef";"41904";"Thu Jul 16 10:32:58 2020"
"Avision Beteiligungs GmbH Oberhaching";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"28.01.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"125b320d065d25d8";"41904";"Thu Jul 16 10:32:58 2020"
"Avision Europe GmbH Krefeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"18.04.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"879c10b6700cd200";"41904";"Thu Jul 16 10:32:58 2020"
"Avision GmbH Oberhaching";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"14.09.2018";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"17d36232fa492486";"41904";"Thu Jul 16 10:32:58 2020"
"Avision Beteiligungs GmbH Oberhaching";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"28.08.2018";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"3e8d151fe35da1d2";"41904";"Thu Jul 16 10:32:58 2020"
"Avision Europe GmbH Krefeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"05.04.2018";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"1e0b6f53b3bae832";"41904";"Thu Jul 16 10:32:58 2020"
"Avision Beteiligungs GmbH Oberhaching";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"24.11.2017";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"d808224ce825ddbf";"41904";"Thu Jul 16 10:32:58 2020"
"Avision GmbH Oberhaching";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"17.11.2017";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"59bc85ea7e07da0c";"41904";"Thu Jul 16 10:32:58 2020"
"Avision Europe GmbH Krefeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"03.02.2017";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"287c8d35292f64b3";"41904";"Thu Jul 16 10:32:58 2020"
