"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Baral Geohaus-Consulting Aktiengesellschaft Reutlingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"23.12.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"4a63cd77db3192e1";"42351";"Wed Jul 15 21:17:42 2020"
"Baral Geohaus-Consulting Aktiengesellschaft Reutlingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"08.01.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"1d08ba0e0862f430";"42351";"Wed Jul 15 21:17:42 2020"
"Baral Geohaus-Consulting Aktiengesellschaft Reutlingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"20.12.2017";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"8cddb9c2d16e4cd9";"42351";"Wed Jul 15 21:17:42 2020"
"Baral Geohaus-Consulting Aktiengesellschaft Reutlingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"02.01.2017";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"908180ba0ed2ab58";"42351";"Wed Jul 15 21:17:42 2020"
"Baral Geohaus-Consulting Aktiengesellschaft Reutlingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"28.01.2016";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"61f19b64b390dfe5";"42351";"Wed Jul 15 21:17:42 2020"
"Baral Geohaus-Consulting Aktiengesellschaft Reutlingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"11.12.2014";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"1e816afebaf7bbb7";"42351";"Wed Jul 15 21:17:42 2020"
"Baral Geohaus-Consulting Aktiengesellschaft Reutlingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"18.12.2013";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"b1a9da94dc934c68";"42351";"Wed Jul 15 21:17:42 2020"
"Baral Geohaus-Consulting Aktiengesellschaft Reutlingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"15.01.2013";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"58654d22bb655b54";"42351";"Wed Jul 15 21:17:42 2020"
"Baral Geohaus-Consulting Aktiengesellschaft Reutlingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"04.01.2012";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"40a8cfd35ddf834b";"42351";"Wed Jul 15 21:17:42 2020"
"Baral Geohaus-Consulting Aktiengesellschaft Reutlingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"09.02.2011";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"0b5619ff32e888df";"42351";"Wed Jul 15 21:17:42 2020"
"Baral Geohaus-Consulting Aktiengesellschaft Reutlingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"03.02.2010";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"423dbcc8fee8dadc";"42351";"Wed Jul 15 21:17:42 2020"
"Baral Geohaus-Consulting Aktiengesellschaft Reutlingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"09.02.2009";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"f9962be651e59acd";"42351";"Wed Jul 15 21:17:42 2020"
"BARAL Geohaus-Consulting Aktiengesellschaft Reutlingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"29.02.2008";"97%";"aba51bcc9fdd59516710d900a8a5ca24";"34dab2328136d288";"42351";"Wed Jul 15 21:17:42 2020"
