"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Bitdefender GmbH Schwerte";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"20.04.2020";"100%";"c1affca00be00815e8f7ff00abde0b30";"590b064329449ef2";"29531";"Wed Jul 15 06:57:51 2020"
"Bitdefender GmbH Schwerte";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"31.12.2018";"100%";"c1affca00be00815e8f7ff00abde0b30";"207bb12b3a1e2e4c";"29531";"Wed Jul 15 06:57:51 2020"
"Bitdefender GmbH Schwerte";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"11.01.2018";"92%";"c1affca00be00815e8f7ff00abde0b30";"66af3841c49c3cd5";"29531";"Wed Jul 15 06:57:51 2020"
"BitDefender GmbH Holzwickede";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"22.01.2016";"92%";"c1affca00be00815e8f7ff00abde0b30";"b5f77f76ccfcb634";"29531";"Wed Jul 15 06:57:51 2020"
"BitDefender GmbH Holzwickede";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"20.02.2015";"92%";"c1affca00be00815e8f7ff00abde0b30";"925da90b2ce096ba";"29531";"Wed Jul 15 06:57:51 2020"
"BitDefender GmbH Holzwickede";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"05.02.2014";"92%";"c1affca00be00815e8f7ff00abde0b30";"80b5d9bb2d73199e";"29531";"Wed Jul 15 06:57:51 2020"
"BitDefender GmbH Holzwickede";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"19.12.2012";"92%";"c1affca00be00815e8f7ff00abde0b30";"fe620191b086340f";"29531";"Wed Jul 15 06:57:51 2020"
"BitDefender GmbH Holzwickede";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"08.02.2012";"92%";"c1affca00be00815e8f7ff00abde0b30";"52098a77c5c87923";"29531";"Wed Jul 15 06:57:51 2020"
"BitDefender GmbH Holzwickede";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"10.09.2010";"92%";"c1affca00be00815e8f7ff00abde0b30";"5d3b6f93aec7aeb7";"29531";"Wed Jul 15 06:57:51 2020"
"BitDefender GmbH Holzwickede";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008 Berichtigung der Veröffentlichung vom 08.03.2010";"28.04.2010";"92%";"c1affca00be00815e8f7ff00abde0b30";"d61fb78c9127dc77";"29531";"Wed Jul 15 06:57:51 2020"
"BitDefender GmbH Holzwickede";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008 Berichtigt am 28.04.2010";"08.03.2010";"92%";"c1affca00be00815e8f7ff00abde0b30";"9324fae76c6b14c9";"29531";"Wed Jul 15 06:57:51 2020"
"BitDefender GmbH Holzwickede";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"22.01.2009";"92%";"c1affca00be00815e8f7ff00abde0b30";"d181524712e46f7c";"29531";"Wed Jul 15 06:57:51 2020"
"BitDefender GmbH Tettnang";"Rechnungslegung/ Finanzberichte";"» Hinterlegungsbekanntmachung Jahresabschluss zum 31.12.2004 und zum 31.12.2005";"30.04.2008";"92%";"c1affca00be00815e8f7ff00abde0b30";"98ae54dc28bb26d2";"29531";"Wed Jul 15 06:57:51 2020"
"BitDefender GmbH Tettnang";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"29.04.2008";"92%";"c1affca00be00815e8f7ff00abde0b30";"abbbf20487265cd1";"29531";"Wed Jul 15 06:57:51 2020"
