"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"AgrEvo Verwaltungsgesellschaft mbH (Frankfurt am Main),  Bayer Altersversorgung GmbH (Leverkusen),  Bayer Animal Health GmbH (Leverkusen),  Bayer Beteiligungsverwaltung Goslar GmbH (Leverkusen),  Bayer Business Services GmbH (Leverkusen),  Bayer Chemicals GmbH (Leverkusen),  Bayer Direct Services GmbH (Leverkusen),  Bayer Gastronomie GmbH (Leverkusen),  Bayer Gesellschaft für Beteiligungen mbH (Leverkusen),  Bayer-Handelsgesellschaft mit beschränkter Haftung (L everkusen),  Bayer Intellectual Property GmbH (Monheim am Rhein),  Bayer Real Estate GmbH (Leverkusen),  Bayer Schering Pharma GmbH (Berlin),  Bayer US IP GmbH (Leverkusen),  Bayer Vital GmbH (Leverkusen),  BGI Deutschland GmbH (Leverkusen),  Erste K-W-A Beteiligungsgesellschaft mbH (Leverkusen),  GP Grenzach Produktions GmbH (Grenzach-Wyhlen),  KVP Pharma+Veterinär Produkte GmbH (Kiel),  MENADIER Heilmittel GmbH (Berlin),  Siebte Bayer VV GmbH (Leverkusen),  Steigerwald Arzneimittelwerk GmbH (Darmstadt),  TravelBoard GmbH (Leverkusen),  Zweite K-W-A Beteiligungsgesellschaft mbH (Leverkusen) Leverkusen";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Bayer Aktiengesellschaft (Leverkusen)";"18.03.2020";"100%";"af75d5dc888ac79ae50ee77806ec50af";"bd40dff2ed2d95c0";"72678";"Wed Jul 15 12:57:23 2020"
"Metsä Board Deutschland GmbH (vormals: Metsä Board Deutsche Holding GmbH) Bremen (vormals: Bergisch Gladbach)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"15.01.2020";"100%";"af75d5dc888ac79ae50ee77806ec50af";"0be6cfc45e1db4aa";"72678";"Wed Jul 15 12:57:23 2020"
"Board Deutschland GmbH Frankfurt am Main (vormals: Bad Homburg v. d. Höhe)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"19.12.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"1ff0da6b9eddbb89";"72678";"Wed Jul 15 12:57:23 2020"
"Smurfit Kappa Akademie GmbH (Hamburg),  Smurfit Kappa Diekra-Speditions-Gesellschaft mbH (Diemelstadt),  Smurfit Kappa Distribution Services GmbH (Hoya),  Smurfit Kappa GmbH (Hamburg),  Smurfit Kappa Grundstücks-Verwaltungsgesellschaft Europa Carton mbH (Hamburg),  Smurfit Kappa Herzberger Grundstücks GmbH (Herzberg am Harz),  Smurfit Kappa Herzberger Wellpappe GmbH (Herzberg am Harz),  Smurfit Kappa Herzberg Solid Board GmbH (Herzberg am Harz),  Smurfit Kappa Hoya Papier und Karton GmbH (Hoya),  Smurfit Kappa Leasing GmbH (Hamburg),  Smurfit Kappa Neuss GmbH (Neuss),  Smurfit Kappa Packaging GmbH (Hamburg),  Smurfit Kappa Paper Sales Germany GmbH (Neuss),  Smurfit Kappa RapidCorr Euskirchen GmbH (Euskirchen),  Smurfit Kappa RapidCorr GmbH (Euskirchen),  Smurfit Kappa Recycling GmbH (Hamburg),  Smurfit Kappa Service GmbH (Hamburg),  Smurfit Kappa Wellpappe Nord GmbH (Hamburg),  Smurfit Kappa Wellpappenwerk Lübeck GmbH (Lübeck),  Smurfit Kappa Wellpappenwerk Schneverdingen GmbH (Schneverdingen),  Smurfit Kappa Wellpappenwerk Waren GmbH (Waren),  Smurfit Kappa Wrexen Beteiligungs GmbH (Diemelstadt-Wrexen),  Smurfit Kappa Wrexen Paper & Board GmbH (Diemelstadt),  Smurfit Kappa Zedek Display & Verpackungen GmbH (Münster),  Smurfit Kappa Zülpich Papier GmbH (Zülpich),  Smurfit Kappa Zülpich Papiermaschine GmbH (Zülpich) Hamburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Smurfit Kappa Deutschland GmbH (Hamburg)";"15.05.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"a696c8ce9aad4a74";"72678";"Wed Jul 15 12:57:23 2020"
"Smurfit Kappa Deutschland GmbH Hamburg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"23.01.2020";"af75d5dc888ac79ae50ee77806ec50af";"a696c8ce9aad4a74";"72678";"Wed Jul 15 12:57:23 2020";"";""
"Metsä Board Deutschland GmbH (vormals: Metsä Board Deutsche Holding GmbH) Bremen (vormals: Bergisch Gladbach)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"19.03.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"c7a5ceddd1493a00";"72678";"Wed Jul 15 12:57:23 2020"
"AgrEvo Verwaltungsgesellschaft mbH (Frankfurt am Main),  Bayer Altersversorgung GmbH (Leverkusen),  Bayer Animal Health GmbH (Leverkusen),  Bayer Beteiligungsverwaltung Goslar GmbH (Leverkusen),  Bayer Business Services GmbH (Leverkusen),  Bayer Chemicals GmbH (Leverkusen),  Bayer Direct Services GmbH (Leverkusen),  Bayer Gastronomie GmbH (Leverkusen),  Bayer Gesellschaft für Beteiligungen mbH (Leverkusen),  Bayer-Handelsgesellschaft mit beschränkter Haftung (L everkusen),  Bayer Intellectual Property GmbH (Monheim am Rhein),  Bayer Real Estate GmbH (Leverkusen),  Bayer US IP GmbH (Leverkusen),  Bayer Vital GmbH (Leverkusen),  BGI Deutschland GmbH (Leverkusen),  Chemion Logistik GmbH (Leverkusen),  Erste K-W-A Beteiligungsgesellschaft mbH (Leverkusen),  GP Grenzach Produktions GmbH (Grenzach-Wyhlen),  Intendis GmbH (Berlin),  KVP Pharma+Veterinär Produkte GmbH (Kiel),  MENADIER Heilmittel GmbH (Berlin),  Siebte Bayer VV GmbH (Leverkusen),  Steigerwald Arzneimittelwerk GmbH (Darmstadt),  TECTRION GmbH (Leverkusen),  TravelBoard GmbH (Leverkusen),  Zweite K-W-A Beteiligungsgesellschaft mbH (Leverkusen) Leverkusen";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Bayer Aktiengesellschaft (Leverkusen)";"25.02.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"a3f20a1a817dbe9e";"72678";"Wed Jul 15 12:57:23 2020"
"Bayer Aktiengesellschaft Leverkusen";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"22.05.2019";"af75d5dc888ac79ae50ee77806ec50af";"a3f20a1a817dbe9e";"72678";"Wed Jul 15 12:57:23 2020";"";""
"Board Deutschland GmbH Bad Homburg v. d. Höhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"10.08.2018";"100%";"af75d5dc888ac79ae50ee77806ec50af";"0cdf58b232790554";"72678";"Wed Jul 15 12:57:23 2020"
"Metsä Board Deutschland GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"27.02.2018";"95%";"af75d5dc888ac79ae50ee77806ec50af";"9df7c96311df0afb";"72678";"Wed Jul 15 12:57:23 2020"
"Board Deutschland GmbH Bad Homburg v. d. Höhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"02.02.2018";"95%";"af75d5dc888ac79ae50ee77806ec50af";"52c9788cb58b636f";"72678";"Wed Jul 15 12:57:23 2020"
"CoolBillBoard Deutschland GmbH (vormals: AH Außenwerbung GmbH) Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"31.01.2018";"95%";"af75d5dc888ac79ae50ee77806ec50af";"4d6718ce3fc84d82";"72678";"Wed Jul 15 12:57:23 2020"
"AgrEvo Verwaltungsgesellschaft mbH (Frankfurt am Main),  Bayer Altersversorgung GmbH (Leverkusen),  Bayer Animal Health GmbH (Leverkusen),  Bayer Beteiligungsverwaltung Goslar GmbH (Leverkusen),  Bayer Business Services GmbH (Leverkusen),  Bayer CropScience Biologics GmbH (Wismar),  Bayer CropScience Deutschland GmbH (Langenfeld),  Bayer Direct Services GmbH (Leverkusen),  Bayer Gastronomie GmbH (Leverkusen),  Bayer Gesellschaft für Beteiligungen mbH (Leverkusen),  Bayer-Handelsgesellschaft mit beschränkter Haftung (L everkusen),  Bayer Intellectual Property GmbH (Monheim am Rhein),  Bayer Real Estate GmbH (Leverkusen),  Bayer Vital GmbH (Leverkusen),  BGI Deutschland GmbH (Leverkusen),  Chemion Logistik GmbH (Leverkusen),  Erste K-W-A Beteiligungsgesellschaft mbH (Leverkusen),  GP Grenzach Produktions GmbH (Grenzach-Wyhlen),  Hild Samen GmbH (Marbach am Neckar),  Intendis GmbH (Berlin),  KVP Pharma+Veterinär Produkte GmbH (Kiel),  MENADIER Heilmittel GmbH (Berlin),  Siebte Bayer VV GmbH (Leverkusen),  Steigerwald Arzneimittelwerk GmbH (Darmstadt),  TECTRION GmbH (Leverkusen),  TravelBoard GmbH (Leverkusen),  Zweite K-W-A Beteiligungsgesellschaft mbH (Leverkusen) Leverkusen";"Rechnungslegung/ Finanzberichte";"» Bekanntmachung gemäß §§ 264 Abs. 3, 325 HGB zum Geschäftsjahr vom 01.01.2017 bis zum
                                          31.12.2017 Bayer Aktiengesellschaft (Leverkusen)";"17.01.2018";"95%";"af75d5dc888ac79ae50ee77806ec50af";"7af413effd9297f1";"72678";"Wed Jul 15 12:57:23 2020"
"Bayer Aktiengesellschaft Leverkusen";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"25.04.2018";"af75d5dc888ac79ae50ee77806ec50af";"7af413effd9297f1";"72678";"Wed Jul 15 12:57:23 2020";"";""
"Smurfit Kappa Baden Board GmbH (Gernsbach),  Smurfit Kappa Diekra-Speditions-Gesellschaft mbH (Diemelstadt),  Smurfit Kappa Distribution Services GmbH (Hoya),  Smurfit Kappa Espac GmbH (Hamburg),  Smurfit Kappa GmbH (Hamburg),  Smurfit Kappa Grundstücks-Verwaltungsgesellschaft Europa Carton mbH (Hamburg),  Smurfit Kappa Herzberger Grundstücks GmbH (Herzberg am Harz),  Smurfit Kappa Herzberger Wellpappe GmbH (Herzberg am Harz),  Smurfit Kappa Herzberg Solid Board GmbH (Herzberg am Harz),  Smurfit Kappa Hoya Papier und Karton GmbH (Hoya),  Smurfit Kappa Kawell GmbH (Hamburg),  Smurfit Kappa Leasing GmbH (Hamburg),  Smurfit Kappa Neuss GmbH (Neuss),  Smurfit Kappa Packaging GmbH (Hamburg),  Smurfit Kappa Paper Sales Germany GmbH (Neuss),  Smurfit Kappa RapidCorr Euskirchen GmbH (Euskirchen),  Smurfit Kappa RapidCorr GmbH (Euskirchen),  Smurfit Kappa Recycling GmbH (Hamburg),  Smurfit Kappa Service GmbH (Hamburg),  Smurfit Kappa Wellpappe Nord GmbH (Hamburg),  Smurfit Kappa Wellpappenwerk Lübeck GmbH (Lübeck),  Smurfit Kappa Wellpappenwerk Schneverdingen GmbH (Schneverdingen),  Smurfit Kappa Wellpappenwerk Waren GmbH (Waren),  Smurfit Kappa Wrexen Beteiligungs GmbH (Diemelstadt-Wrexen),  Smurfit Kappa Wrexen Paper & Board GmbH (Diemelstadt),  Smurfit Kappa Zedek Display & Verpackungen GmbH (Münster),  Smurfit Kappa Zülpich Papier GmbH (Zülpich),  Smurfit Kappa Zülpich Papiermaschine GmbH (Zülpich) Hamburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Smurfit Kappa Deutschland GmbH (Hamburg)";"17.07.2017";"95%";"af75d5dc888ac79ae50ee77806ec50af";"1d09457bf69141f0";"72678";"Wed Jul 15 12:57:23 2020"
"Smurfit Kappa Deutschland GmbH Hamburg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"12.12.2017";"af75d5dc888ac79ae50ee77806ec50af";"1d09457bf69141f0";"72678";"Wed Jul 15 12:57:23 2020";"";""
"CoolBillBoard Deutschland GmbH  (vormals: AH Außenwerbung GmbH) Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 26.11.2015 bis zum 31.12.2015";"26.04.2017";"95%";"af75d5dc888ac79ae50ee77806ec50af";"9bf9047401c07248";"72678";"Wed Jul 15 12:57:23 2020"
"Metsä Board Deutschland GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"09.03.2017";"95%";"af75d5dc888ac79ae50ee77806ec50af";"fb969cda5f66a040";"72678";"Wed Jul 15 12:57:23 2020"
"Board Deutschland GmbH Bad Homburg v. d. Höhe";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"02.01.2017";"95%";"af75d5dc888ac79ae50ee77806ec50af";"f1eda6e8edad675c";"72678";"Wed Jul 15 12:57:23 2020"
