"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Brakeler Zeitarbeit GmbH Brakel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Berichtigung der Veröffentlichung vom 12.02.2020";"29.06.2020";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"f39a3f215ba35efb";"87097";"Wed Jul 15 15:26:59 2020"
"Brakeler Zeitarbeit GmbH Brakel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Berichtigt am 29.06.2020";"12.02.2020";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"8651f728eec17d4b";"87097";"Wed Jul 15 15:26:59 2020"
"Brakeler Zeitarbeit GmbH Brakel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"20.09.2018";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"0e1d58ed00357bc1";"87097";"Wed Jul 15 15:26:59 2020"
"Brakeler Zeitarbeit GmbH Brakel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"03.11.2017";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"fa28b72bdf1ff03d";"87097";"Wed Jul 15 15:26:59 2020"
"Brakeler Zeitarbeit GmbH Brakel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"07.09.2016";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"9f0ffaa73970edd3";"87097";"Wed Jul 15 15:26:59 2020"
"Brakeler Zeitarbeit GmbH Brakel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"06.10.2015";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"e5e826246c753e0f";"87097";"Wed Jul 15 15:26:59 2020"
"Brakeler Zeitarbeit GmbH Brakel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"21.01.2015";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"73be2c65e519fd7d";"87097";"Wed Jul 15 15:26:59 2020"
"Brakeler Zeitarbeit GmbH Brakel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"28.02.2014";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"c3c4f9ba3037684c";"87097";"Wed Jul 15 15:26:59 2020"
"Brakeler Zeitarbeit GmbH (vormals: Brakler Zeitarbeit GmbH) Brakel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"21.08.2013";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"83a56656a2b67139";"87097";"Wed Jul 15 15:26:59 2020"
"Annen Zeitarbeit GmbH Brakel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"12.08.2014";"85%";"9f640089e0eb51d0473f169a5e9dfb07";"222ed87dc36436ae";"87097";"Wed Jul 15 15:26:59 2020"
"Annen Zeitarbeit GmbH Brakel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"14.03.2013";"85%";"9f640089e0eb51d0473f169a5e9dfb07";"89af14e6dc902b95";"87097";"Wed Jul 15 15:26:59 2020"
"Annen Zeitarbeit GmbH Brakel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"09.01.2012";"85%";"9f640089e0eb51d0473f169a5e9dfb07";"4e7259895fb189b3";"87097";"Wed Jul 15 15:26:59 2020"
"Annen Zeitarbeit GmbH Brakel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"13.01.2011";"85%";"9f640089e0eb51d0473f169a5e9dfb07";"d65376b6053058ff";"87097";"Wed Jul 15 15:26:59 2020"
"Annen Zeitarbeit GmbH Brakel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"03.08.2010";"85%";"9f640089e0eb51d0473f169a5e9dfb07";"4eb58cf0c62d2ada";"87097";"Wed Jul 15 15:26:59 2020"
