"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Bressler Aircraft Catering GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Berichtigung der Veröffentlichung vom 20.03.2020";"27.05.2020";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"06d4c96fca8776b6";"69628";"Mon Jul 13 15:17:04 2020"
"Bressler Aircraft Catering GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Berichtigt am 27.05.2020";"20.03.2020";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"bdb1595cd7bf90dc";"69628";"Mon Jul 13 15:17:04 2020"
"Bressler Aircraft Catering GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"14.02.2019";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"58345133faef2504";"69628";"Mon Jul 13 15:17:04 2020"
"Bressler Aircraft Catering GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"22.03.2018";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"c398af17b7bbef67";"69628";"Mon Jul 13 15:17:04 2020"
"Bressler Aircraft Catering GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"27.01.2017";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"7ed74888d921265f";"69628";"Mon Jul 13 15:17:04 2020"
"Bressler Aircraft Catering GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"23.12.2015";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"0a86f0e7e5c5e1b3";"69628";"Mon Jul 13 15:17:04 2020"
"Bressler Aircraft Catering GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"26.03.2015";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"371a1e8123847fdd";"69628";"Mon Jul 13 15:17:04 2020"
"Bressler Aircraft Catering GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"06.02.2014";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"607d37e118309a67";"69628";"Mon Jul 13 15:17:04 2020"
"Bressler Aircraft Catering GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"03.05.2013";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"91445c5063911b84";"69628";"Mon Jul 13 15:17:04 2020"
"Bressler Aircraft Catering GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"11.01.2013";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"2ba888a25661359c";"69628";"Mon Jul 13 15:17:04 2020"
"Bressler Aircraft Catering und Tiefkühlmenü GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"14.12.2010";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"8b34361fc98634dd";"69628";"Mon Jul 13 15:17:04 2020"
"Bressler Aircraft Catering und Tiefkühlmenü GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2008";"05.05.2010";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"ae631454efdaf009";"69628";"Mon Jul 13 15:17:04 2020"
"Bressler Aircraft Catering und Tiefkühlmenü GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"06.03.2009";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"fad86acb3f003c27";"69628";"Mon Jul 13 15:17:04 2020"
"Bressler Aircraft Catering und Tiefkühlmenü GmbH & Co. KG Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"19.05.2008";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"8a15946cac6dd972";"69628";"Mon Jul 13 15:17:04 2020"
