"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"business impuls GmbH Büro für strategische Beratung Bad Sulza (vormals: Weimar)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"26.03.2020";"100%";"1d7580fe1877930fb5835ea85d1f7b11";"6dcb7f4456bcf3f3";"44485";"Mon Jul 13 12:26:11 2020"
"business impuls GmbH Büro für strategische Beratung Bad Sulza  (vormals: Weimar)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"21.03.2019";"100%";"1d7580fe1877930fb5835ea85d1f7b11";"78558dfe19599183";"44485";"Mon Jul 13 12:26:11 2020"
"business impuls GmbH Büro für strategische Beratung Weimar";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Berichtigung der Veröffentlichung vom 04.07.2017";"20.07.2017";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"cbcab69ec7d03819";"44485";"Mon Jul 13 12:26:11 2020"
"business impuls GmbH Büro für strategische Beratung Weimar";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Berichtigt am 20.07.2017";"04.07.2017";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"4c9d3be42910d4af";"44485";"Mon Jul 13 12:26:11 2020"
"business impuls GmbH Büro für strategische Beratung Weimar";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"03.04.2017";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"66afdb4d3776708d";"44485";"Mon Jul 13 12:26:11 2020"
"business impuls GmbH Büro für strategische Beratung Weimar";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"26.11.2015";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"3535bf9628377555";"44485";"Mon Jul 13 12:26:11 2020"
"business impuls GmbH Büro für strategische Beratung Weimar";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"30.03.2015";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"520c9da89561ec30";"44485";"Mon Jul 13 12:26:11 2020"
"business impuls GmbH Büro für strategische Beratung Weimar";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"27.03.2014";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"5d855834d73b69cb";"44485";"Mon Jul 13 12:26:11 2020"
"business impuls GmbH Büro für strategische Beratung Weimar";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"14.03.2013";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"add7cbdcd31bb3ad";"44485";"Mon Jul 13 12:26:11 2020"
"business impuls GmbH Büro für strategische Beratung Weimar";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"30.04.2012";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"d422ccc7c87dd38d";"44485";"Mon Jul 13 12:26:11 2020"
