"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Business Integrity Management GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"22.10.2012";"97%";"61aebb4bfd3899b23e2c1374ebe7c217";"c40ba5c95d4419e7";"05164";"Mon Jul 13 17:34:44 2020"
"Business Integrity Management GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"03.11.2011";"97%";"61aebb4bfd3899b23e2c1374ebe7c217";"1f573648e19ef73c";"05164";"Mon Jul 13 17:34:44 2020"
"Business Integrity Management GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"14.01.2011";"97%";"61aebb4bfd3899b23e2c1374ebe7c217";"a11bc49436c45e55";"05164";"Mon Jul 13 17:34:44 2020"
"Business Integrity Management GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"23.07.2009";"97%";"61aebb4bfd3899b23e2c1374ebe7c217";"4dfe4ecf0e34a3d9";"05164";"Mon Jul 13 17:34:44 2020"
"Business Integrity Management GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"10.11.2008";"97%";"61aebb4bfd3899b23e2c1374ebe7c217";"90153559abf15a39";"05164";"Mon Jul 13 17:34:44 2020"
"Business Integrity Management GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"31.03.2008";"97%";"61aebb4bfd3899b23e2c1374ebe7c217";"8a5c24a251499dd3";"05164";"Mon Jul 13 17:34:44 2020"
"LANXESS Aktiengesellschaft Köln";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"27.04.2020";"7%";"61aebb4bfd3899b23e2c1374ebe7c217";"e3fe1162cc6fa5e9";"05164";"Mon Jul 13 17:34:44 2020"
"DMG MORI AKTIENGESELLSCHAFT Bielefeld";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"15.04.2020";"7%";"61aebb4bfd3899b23e2c1374ebe7c217";"753d498299b78c35";"05164";"Mon Jul 13 17:34:44 2020"
"LANXESS Aktiengesellschaft Köln";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"13.05.2019";"7%";"61aebb4bfd3899b23e2c1374ebe7c217";"55580951af06c691";"05164";"Mon Jul 13 17:34:44 2020"
"LBS Landesbausparkasse Südwest Stuttgart";"Rechnungslegung/ Finanzberichte";"» Entsprechenserklärung zur Nutzung als nichtfinanzielle Erklärung im Sinne des CSR-Richtlinie-Umsetzungsgesetzes
                                          für das Jahr 2017";"07.09.2018";"7%";"61aebb4bfd3899b23e2c1374ebe7c217";"fec0ac601073ada6";"05164";"Mon Jul 13 17:34:44 2020"
"LANXESS Aktiengesellschaft Köln";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"12.06.2018";"4%";"61aebb4bfd3899b23e2c1374ebe7c217";"a774a33e71522ca7";"05164";"Mon Jul 13 17:34:44 2020"
"Telefónica Deutschland Holding AG München";"Rechnungslegung/ Finanzberichte";"» Gesonderter nichtfinanzieller Bericht außerhalb des Lageberichts";"12.06.2018";"4%";"61aebb4bfd3899b23e2c1374ebe7c217";"178a9f7dc6920889";"05164";"Mon Jul 13 17:34:44 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2015";"02.10.2015";"4%";"61aebb4bfd3899b23e2c1374ebe7c217";"6bc4df587b3879ec";"05164";"Mon Jul 13 17:34:44 2020"
