"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Bühn Netzinfo GmbH Naila";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"04.06.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"e8d87a7e7bc6393d";"22914";"Wed Jul 15 20:19:47 2020"
"Bühn Netzinfo GmbH Naila";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"20.11.2018";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"de3c5c27620023f7";"22914";"Wed Jul 15 20:19:47 2020"
"Bühn Netzinfo GmbH Naila";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"13.03.2018";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"2f4589453c2196fe";"22914";"Wed Jul 15 20:19:47 2020"
"Bühn Netzinfo GmbH Naila";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"07.04.2016";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"7bf53bba655454dd";"22914";"Wed Jul 15 20:19:47 2020"
"Bühn Netzinfo GmbH Naila";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"19.01.2016";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"889f0d3bde9a43c8";"22914";"Wed Jul 15 20:19:47 2020"
"Bühn Netzinfo GmbH Naila";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"30.05.2014";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"3389330ff1241ddf";"22914";"Wed Jul 15 20:19:47 2020"
"Bühn Netzinfo GmbH Naila";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"09.04.2013";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"e4964f879a3ee665";"22914";"Wed Jul 15 20:19:47 2020"
"Bühn Netzinfo GmbH Naila";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"10.04.2012";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"8ae4c77f6ca80f44";"22914";"Wed Jul 15 20:19:47 2020"
"Bühn Netzinfo GmbH Naila";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"04.03.2011";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"2bd812d006323bad";"22914";"Wed Jul 15 20:19:47 2020"
"Bühn Netzinfo GmbH Naila";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"12.04.2010";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"867fd76d5c949255";"22914";"Wed Jul 15 20:19:47 2020"
"Bühn Netzinfo GmbH Naila";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"15.05.2009";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"5f1e453562594fd1";"22914";"Wed Jul 15 20:19:47 2020"
"Bühn Netzinfo GmbH Naila";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"19.02.2009";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"6ed1a6a8d4c2be99";"22914";"Wed Jul 15 20:19:47 2020"
"Bühn Netzinfo GmbH Naila";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"29.04.2008";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"01ad854431684b86";"22914";"Wed Jul 15 20:19:47 2020"
