"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Büro für Umweltplanung Spoo & Pittner GmbH Mertesdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.12.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"a90b0b8c0a688685";"52768";"Tue Jul 14 18:48:15 2020"
"Büro für Umweltplanung Spoo & Pittner GmbH Mertesdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"26.11.2018";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"69e8f3b2edd47537";"52768";"Tue Jul 14 18:48:15 2020"
"Büro für Umweltplanung Spoo & Pittner GmbH Mertesdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"02.01.2018";"98%";"9f0e12c7f320e17bd3028846fa49a6eb";"273d82208643b12a";"52768";"Tue Jul 14 18:48:15 2020"
"Büro für Umweltplanung Spoo & Pittner GmbH Mertesdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"20.01.2017";"98%";"9f0e12c7f320e17bd3028846fa49a6eb";"6a24363d8f075dc0";"52768";"Tue Jul 14 18:48:15 2020"
"Büro für Umweltplanung Spoo & Pittner GmbH Mertesdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"05.01.2015";"98%";"9f0e12c7f320e17bd3028846fa49a6eb";"ab1fd5da698d1fe1";"52768";"Tue Jul 14 18:48:15 2020"
"Büro für Umweltplanung Spoo & Pittner GmbH Mertesdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"19.12.2013";"98%";"9f0e12c7f320e17bd3028846fa49a6eb";"cf08c31c9d1732f3";"52768";"Tue Jul 14 18:48:15 2020"
"Büro für Umweltplanung Spoo & Pittner GmbH Mertesdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"18.01.2013";"98%";"9f0e12c7f320e17bd3028846fa49a6eb";"49ef2eb664565c34";"52768";"Tue Jul 14 18:48:15 2020"
"Büro für Umweltplanung Spoo & Pittner GmbH Mertesdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"23.12.2011";"98%";"9f0e12c7f320e17bd3028846fa49a6eb";"8e1960de990994a9";"52768";"Tue Jul 14 18:48:15 2020"
"Büro für Umweltplanung Spoo & Pittner GmbH Mertesdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"08.02.2011";"98%";"9f0e12c7f320e17bd3028846fa49a6eb";"c1af4396ff09f9b7";"52768";"Tue Jul 14 18:48:15 2020"
"Büro für Umweltplanung Spoo & Pittner GmbH Mertesdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"07.01.2010";"98%";"9f0e12c7f320e17bd3028846fa49a6eb";"c1353a18cdc7ac61";"52768";"Tue Jul 14 18:48:15 2020"
"Büro für Umweltplanung Spoo & Pittner GmbH Mertesdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"12.02.2009";"98%";"9f0e12c7f320e17bd3028846fa49a6eb";"01038d4bce2d1bb9";"52768";"Tue Jul 14 18:48:15 2020"
