"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"CDB Dienstleistungsbetriebe GmbH Pulsnitz (vormals: Bischofswerda)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.02.2020";"100%";"c1affca00be00815e8f7ff00abde0b30";"d1970afc1141e578";"32591";"Wed Jul 15 14:10:34 2020"
"CDB Dienstleistungsbetriebe GmbH Bischofswerda";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"05.02.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"6ca6385aa2382864";"32591";"Wed Jul 15 14:10:34 2020"
"CDB Dienstleistungsbetriebe GmbH Bischofswerda";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"08.03.2018";"95%";"c1affca00be00815e8f7ff00abde0b30";"6d913250aef6297e";"32591";"Wed Jul 15 14:10:34 2020"
"CDB Dienstleistungsbetriebe GmbH Bischofswerda";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"11.01.2017";"95%";"c1affca00be00815e8f7ff00abde0b30";"ef29225756d058da";"32591";"Wed Jul 15 14:10:34 2020"
"CDB Dienstleistungsbetriebe GmbH Bischofswerda";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"04.02.2016";"95%";"c1affca00be00815e8f7ff00abde0b30";"a22802843a291abc";"32591";"Wed Jul 15 14:10:34 2020"
"CDB Dienstleistungsbetriebe GmbH Bischofswerda";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"17.12.2014";"95%";"c1affca00be00815e8f7ff00abde0b30";"eb80e953ff026063";"32591";"Wed Jul 15 14:10:34 2020"
"CDB Dienstleistungsbetriebe GmbH Bischofswerda";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"27.01.2014";"95%";"c1affca00be00815e8f7ff00abde0b30";"7679e3e5529c6dba";"32591";"Wed Jul 15 14:10:34 2020"
"CDB Dienstleistungsbetriebe GmbH Bischofswerda";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"09.01.2013";"95%";"c1affca00be00815e8f7ff00abde0b30";"6ca16a71846fec2d";"32591";"Wed Jul 15 14:10:34 2020"
"CDB Dienstleistungsbetriebe GmbH Bischofswerda";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"31.01.2012";"95%";"c1affca00be00815e8f7ff00abde0b30";"b269aa00ed48f04e";"32591";"Wed Jul 15 14:10:34 2020"
"CDB Dienstleistungsbetriebe GmbH (vormals: CDB Informationstechnik GmbH) Bischofswerda";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"27.01.2011";"95%";"c1affca00be00815e8f7ff00abde0b30";"d87ec9efba66a702";"32591";"Wed Jul 15 14:10:34 2020"
