"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"C K L Software GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"05.12.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"1d71320e5359de7e";"72708";"Tue Jul 14 14:17:46 2020"
"C K L Software GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"28.11.2018";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"d7ba8358c4f12db6";"72708";"Tue Jul 14 14:17:46 2020"
"C K L Software GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"19.07.2017";"95%";"9f0e12c7f320e17bd3028846fa49a6eb";"473831e32e8dd2a7";"72708";"Tue Jul 14 14:17:46 2020"
"C K L Software GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"09.06.2016";"95%";"9f0e12c7f320e17bd3028846fa49a6eb";"36e9870b64eb2cc7";"72708";"Tue Jul 14 14:17:46 2020"
"C K L Software GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"29.06.2015";"95%";"9f0e12c7f320e17bd3028846fa49a6eb";"b501f52aeaa4d93b";"72708";"Tue Jul 14 14:17:46 2020"
"C K L Software GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"14.10.2014";"95%";"9f0e12c7f320e17bd3028846fa49a6eb";"32bd244669d21957";"72708";"Tue Jul 14 14:17:46 2020"
"C K L Software GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"25.01.2013";"95%";"9f0e12c7f320e17bd3028846fa49a6eb";"24af923907723c50";"72708";"Tue Jul 14 14:17:46 2020"
"C K L Software GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"02.01.2012";"95%";"9f0e12c7f320e17bd3028846fa49a6eb";"24f7e13ab46199d1";"72708";"Tue Jul 14 14:17:46 2020"
"C K L Software GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"31.12.2010";"95%";"9f0e12c7f320e17bd3028846fa49a6eb";"f831a24457d34279";"72708";"Tue Jul 14 14:17:46 2020"
"C K L Software GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"12.01.2010";"95%";"9f0e12c7f320e17bd3028846fa49a6eb";"2cfae79945d3b19e";"72708";"Tue Jul 14 14:17:46 2020"
"C K L Software GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss";"22.01.2009";"95%";"9f0e12c7f320e17bd3028846fa49a6eb";"5906a37f5f05bda8";"72708";"Tue Jul 14 14:17:46 2020"
"CKL Software GmbH Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"15.04.2008";"95%";"9f0e12c7f320e17bd3028846fa49a6eb";"59b9759a84904750";"72708";"Tue Jul 14 14:17:46 2020"
