"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Cobie Group GmbH (vormals: Cookingcrew GmbH) München (vormals: Fürstenfeldbruck)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Ergänzung der Veröffentlichung vom 27.11.2019";"07.07.2020";"100%";"af75d5dc888ac79ae50ee77806ec50af";"104896e8fa375584";"16685";"Wed Jul 15 15:45:03 2020"
"Cobi GmbH Schwabach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"16.03.2020";"100%";"af75d5dc888ac79ae50ee77806ec50af";"cd24dceb382ba8c6";"16685";"Wed Jul 15 15:45:03 2020"
"COBI.Bike GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Robert Bosch Gesellschaft mit beschränkter Haftung (Stuttgart)";"02.03.2020";"100%";"af75d5dc888ac79ae50ee77806ec50af";"510bea843591191e";"16685";"Wed Jul 15 15:45:03 2020"
"CobiNet Fernmelde- und Datennetzkomponenten GmbH Heddesheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"03.02.2020";"100%";"af75d5dc888ac79ae50ee77806ec50af";"ed4ace186c2e0371";"16685";"Wed Jul 15 15:45:03 2020"
"Cobie Group GmbH (vormals:  Cookingcrew GmbH) München (vormals: Vaterstetten)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Ergänzt am 07.07.2020";"27.11.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"a28622478fbb9996";"16685";"Wed Jul 15 15:45:03 2020"
"COBI.Bike GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Robert Bosch Gesellschaft mit beschränkter Haftung (Stuttgart)";"11.03.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"ac17fef33df1100a";"16685";"Wed Jul 15 15:45:03 2020"
"Robert Bosch Gesellschaft mit beschränkter Haftung Stuttgart";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Ergänzung der Veröffentlichung vom 16.10.2019";"02.12.2019";"af75d5dc888ac79ae50ee77806ec50af";"ac17fef33df1100a";"16685";"Wed Jul 15 15:45:03 2020";"";""
"Robert Bosch Gesellschaft mit beschränkter Haftung Stuttgart";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Ergänzt am 02.12.2019";"16.10.2019";"af75d5dc888ac79ae50ee77806ec50af";"ac17fef33df1100a";"16685";"Wed Jul 15 15:45:03 2020";"";""
"CobiNet Fernmelde- und Datennetzkomponenten GmbH Heddesheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"20.02.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"99406a79c0ee7cc0";"16685";"Wed Jul 15 15:45:03 2020"
"COBI.Bike GmbH (vormals: COBI.bike GmbH) Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"04.02.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"31018686803f49f2";"16685";"Wed Jul 15 15:45:03 2020"
"Cobie Group GmbH (vormals: Cookingcrew GmbH) Vaterstetten (vormals: München)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"31.10.2018";"100%";"af75d5dc888ac79ae50ee77806ec50af";"be2bea53053aa988";"16685";"Wed Jul 15 15:45:03 2020"
"COBI.bike GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"22.03.2018";"92%";"af75d5dc888ac79ae50ee77806ec50af";"75ce7523c936a6a8";"16685";"Wed Jul 15 15:45:03 2020"
"CobiNet Fernmelde- und Datennetzkomponenten GmbH Heddesheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"27.02.2018";"92%";"af75d5dc888ac79ae50ee77806ec50af";"153bbd3c24dfaeeb";"16685";"Wed Jul 15 15:45:03 2020"
"COBI GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"05.04.2017";"92%";"af75d5dc888ac79ae50ee77806ec50af";"f157513a11314570";"16685";"Wed Jul 15 15:45:03 2020"
"CobiNet Fernmelde- und Datennetzkomponenten GmbH Heddesheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"20.02.2017";"92%";"af75d5dc888ac79ae50ee77806ec50af";"fc863b59ade64e83";"16685";"Wed Jul 15 15:45:03 2020"
"CobiNet Fernmelde- und Datennetzkomponenten GmbH Heddesheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"08.04.2016";"92%";"af75d5dc888ac79ae50ee77806ec50af";"9974289592e12de0";"16685";"Wed Jul 15 15:45:03 2020"
