"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"CVJM-City-Hotel Gesellschaft mit beschränkter Haftung Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"30.01.2020";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"3402126558f9dbc0";"65914";"Wed Jul 15 20:51:27 2020"
"CVJM-Bildungswerk gemeinnützige GmbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.01.2020";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"422b0755e6cd33aa";"65914";"Wed Jul 15 20:51:27 2020"
"CVJM-Gästehaus Victoria GmbH (vormals: FEG Freizeit- und Erholungsanlagen GmbH) Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"21.01.2020";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"c3cb54d13de3b2f6";"65914";"Wed Jul 15 20:51:27 2020"
"CVJM-Kindertagesstätte im Mariannenpark gemeinnützige GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"02.01.2020";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"9dfc8c52b0117992";"65914";"Wed Jul 15 20:51:27 2020"
"CVJM Weiden gGmbH Weiden i.d.OPf.";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 und Liquidationsschlussbilanz";"27.12.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"955b6cf09492e68c";"65914";"Wed Jul 15 20:51:27 2020"
"CVJM-Freizeit und Segelzentrum Ratzeburg gemeinnützige GmbH Ratzeburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"11.11.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"bd1a091a0ef47dc9";"65914";"Wed Jul 15 20:51:27 2020"
"CVJM Münster Sozialwerk gGmbH Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.08.2017 bis zum 31.07.2018";"05.08.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"1031eb2303dceed7";"65914";"Wed Jul 15 20:51:27 2020"
"CVJM-Sunderhof GmbH Seevetal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"26.06.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"7c48db4bd9dc8408";"65914";"Wed Jul 15 20:51:27 2020"
"CVJM Weiden gGmbH Weiden i.d.OPf.";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"21.06.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"f0450c83f901ff5d";"65914";"Wed Jul 15 20:51:27 2020"
"CVJM Essen Sozialwerk gemeinnützige GmbH (vormals: CVJM Essen Sozialwerk gemeinnützige
                                       GmbH, diakonische Dienste des CVJM Essen) Essen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"22.03.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"2c91be162b51b5f1";"65914";"Wed Jul 15 20:51:27 2020"
"CVJM-Kindertagesstätte im Mariannenpark gemeinnützige GmbH Leipzig";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"07.02.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"5b1c2f633aded139";"65914";"Wed Jul 15 20:51:27 2020"
"CVJM-Bildungswerk gemeinnützige GmbH Kassel";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"07.12.2018";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"c9ec13df8d588663";"65914";"Wed Jul 15 20:51:27 2020"
"CVJM-City-Hotel Gesellschaft mit beschränkter Haftung Hannover";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"08.10.2018";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"32d21f559aae83aa";"65914";"Wed Jul 15 20:51:28 2020"
"CVJM Münster Sozialwerk gGmbH Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.08.2016 bis zum 31.07.2017";"31.07.2018";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"71b6261a548102f7";"65914";"Wed Jul 15 20:51:28 2020"
"CVJM-Sunderhof GmbH Seevetal";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"18.07.2018";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"a99d4556084a77b1";"65914";"Wed Jul 15 20:51:28 2020"
"CVJM-Freizeit und Segelzentrum Ratzeburg gemeinnützige GmbH Ratzeburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"16.07.2018";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"14b0a3eb47665179";"65914";"Wed Jul 15 20:51:28 2020"
