"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Camelot ITLab GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"08.04.2020";"100%";"1d7580fe1877930fb5835ea85d1f7b11";"88369571b0c71fa9";"57718";"Mon Jul 13 12:39:54 2020"
"Camelot ITLab GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"08.03.2019";"100%";"1d7580fe1877930fb5835ea85d1f7b11";"2bf4fe765dab3c4b";"57718";"Mon Jul 13 12:39:54 2020"
"Camelot ITLab GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"24.04.2018";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"1816a12d573580cd";"57718";"Mon Jul 13 12:39:54 2020"
"Camelot ITLab GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"18.11.2016";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"7f16567d1a5fe484";"57718";"Mon Jul 13 12:39:54 2020"
"Camelot ITLab GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"25.04.2016";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"06cb5783ff6f1e15";"57718";"Mon Jul 13 12:39:54 2020"
"Camelot ITLab GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"11.02.2015";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"64468ab4cfdf6890";"57718";"Mon Jul 13 12:39:54 2020"
"Camelot ITLab GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"23.12.2013";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"0fd4929a99361892";"57718";"Mon Jul 13 12:39:54 2020"
"Camelot ITLab GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"10.01.2013";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"dde6cdf18b9f5767";"57718";"Mon Jul 13 12:39:54 2020"
"Camelot ITLab GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"23.12.2011";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"cafb7aecd1396192";"57718";"Mon Jul 13 12:39:54 2020"
"Camelot ITLab GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"07.12.2010";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"4bfed595d7d058e5";"57718";"Mon Jul 13 12:39:54 2020"
"Camelot ITLab GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"10.03.2010";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"c872412e5cb0e05f";"57718";"Mon Jul 13 12:39:54 2020"
"Camelot ITLab GmbH Mannheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"22.01.2009";"95%";"1d7580fe1877930fb5835ea85d1f7b11";"366e907c2ef6d53b";"57718";"Mon Jul 13 12:39:54 2020"
