"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Campana & Schott Holding GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"10.01.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"72686f7a1ec1cf8c";"44102";"Tue Jul 14 21:16:11 2020"
"Campana & Schott Business Services GmbH, Frankfurt am Main; Campana & Schott GmbH, Frankfurt am Main; Campana & Schott IT Solutions GmbH, Frankfurt am Main; Campana & Schott Nord GmbH, Berlin; Campana & Schott Süd GmbH, München";"Tue Jul 14 21:16:11 2020";"";"";"";"";"";"";""
"Campana & Schott Business Services GmbH (Frankfurt am Main),  Campana & Schott GmbH (Frankfurt am Main),  Campana & Schott IT Solutions GmbH (Frankfurt am Main),  Campana & Schott Nord GmbH (Berlin),  Campana & Schott Süd GmbH (München) Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Campana & Schott Holding GmbH (Frankfurt am Main)";"09.01.2020";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"1a9014ffde6bdaa3";"44102";"Tue Jul 14 21:16:11 2020"
"Campana & Schott Holding GmbH Frankfurt am Main";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"10.01.2020";"9f0e12c7f320e17bd3028846fa49a6eb";"1a9014ffde6bdaa3";"44102";"Tue Jul 14 21:16:11 2020";"";""
"Campana & Schott Nord GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"08.02.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"02d43c95b056aff2";"44102";"Tue Jul 14 21:16:11 2020"
"Campana & Schott GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"22.01.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"a4b93bdbf3abd40e";"44102";"Tue Jul 14 21:16:11 2020"
"Campana & Schott Süd GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"14.01.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"25c16848addca633";"44102";"Tue Jul 14 21:16:11 2020"
"Campana & Schott Business Services GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"14.01.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"ad1ff793269c5648";"44102";"Tue Jul 14 21:16:11 2020"
"Campana & Schott IT Solutions GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"18.12.2018";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"30fd468bae6f23d5";"44102";"Tue Jul 14 21:16:11 2020"
"Campana & Schott GmbH (vormals: Campana & Schott Realisierungsmanagement GmbH) Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"05.02.2018";"92%";"9f0e12c7f320e17bd3028846fa49a6eb";"8ace82313b0308d6";"44102";"Tue Jul 14 21:16:11 2020"
