"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"CIM-BASE GmbH Consulting und Engineering Sersheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"13.08.2018";"100%";"f23cfb1bcd816d7b897b8082ea6ee280";"4f25db9ddafb3cf9";"78040";"Sat Jul 11 00:01:41 2020"
"CIM-BASE GmbH Consulting und Engineering Sersheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"27.12.2017";"95%";"f23cfb1bcd816d7b897b8082ea6ee280";"ee2f7488376748b4";"78040";"Sat Jul 11 00:01:41 2020"
"CIM-BASE GmbH Consulting und Engineering Sersheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"30.12.2016";"95%";"f23cfb1bcd816d7b897b8082ea6ee280";"a73244b99a6897a6";"78040";"Sat Jul 11 00:01:41 2020"
"CIM-BASE GmbH Consulting und Engineering Sersheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"15.12.2015";"95%";"f23cfb1bcd816d7b897b8082ea6ee280";"8ef96fad0037180d";"78040";"Sat Jul 11 00:01:41 2020"
"CIM-BASE GmbH Consulting und Engineering Sersheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"19.12.2014";"95%";"f23cfb1bcd816d7b897b8082ea6ee280";"678f63234a15cecc";"78040";"Sat Jul 11 00:01:41 2020"
"CIM-BASE GmbH Consulting und Engineering Sersheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"13.01.2014";"95%";"f23cfb1bcd816d7b897b8082ea6ee280";"b2dbca95d1c307cf";"78040";"Sat Jul 11 00:01:41 2020"
"CIM-BASE GmbH Consulting und Engineering Sersheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"11.01.2013";"95%";"f23cfb1bcd816d7b897b8082ea6ee280";"807e99b87eb0f3ba";"78040";"Sat Jul 11 00:01:41 2020"
"CIM-BASE GmbH Consulting und Engineering Sersheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"30.01.2012";"95%";"f23cfb1bcd816d7b897b8082ea6ee280";"bf81510613133e72";"78040";"Sat Jul 11 00:01:41 2020"
"CIM-BASE GmbH Consulting und Engineering Sersheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 31.12.2009 bis zum 31.12.2009";"16.12.2010";"95%";"f23cfb1bcd816d7b897b8082ea6ee280";"d6bc6240483fc660";"78040";"Sat Jul 11 00:01:41 2020"
"CIM-BASE GmbH Consulting und Engineering Sersheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"22.01.2010";"95%";"f23cfb1bcd816d7b897b8082ea6ee280";"c9054260dfdea298";"78040";"Sat Jul 11 00:01:41 2020"
"CIM-BASE GmbH Consulting und Engineering Sersheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"19.12.2008";"95%";"f23cfb1bcd816d7b897b8082ea6ee280";"443e37c6edf27365";"78040";"Sat Jul 11 00:01:41 2020"
"CIM-BASE GmbH Sersheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"16.01.2008";"95%";"f23cfb1bcd816d7b897b8082ea6ee280";"36844e9ad529167b";"78040";"Sat Jul 11 00:01:41 2020"
