"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Communardo Software GmbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.03.2019";"17.03.2020";"100%";"af75d5dc888ac79ae50ee77806ec50af";"57d14e0633cd53ce";"68553";"Wed Jul 15 14:42:00 2020"
"Communardo Software GmbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"26.08.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"b14f173fb652ce02";"68553";"Wed Jul 15 14:42:00 2020"
"Communardo Software GmbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"24.10.2018";"100%";"af75d5dc888ac79ae50ee77806ec50af";"466eeb9464e6d554";"68553";"Wed Jul 15 14:42:00 2020"
"Communardo Software GmbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"31.07.2017";"95%";"af75d5dc888ac79ae50ee77806ec50af";"fc8b9358c7952860";"68553";"Wed Jul 15 14:42:00 2020"
"Communardo Software GmbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"13.06.2016";"95%";"af75d5dc888ac79ae50ee77806ec50af";"9b08ff80ee135ffc";"68553";"Wed Jul 15 14:42:00 2020"
"Communardo Software GmbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"14.10.2015";"95%";"af75d5dc888ac79ae50ee77806ec50af";"2efd638c2092b54e";"68553";"Wed Jul 15 14:42:00 2020"
"Communardo Software GmbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"07.10.2014";"95%";"af75d5dc888ac79ae50ee77806ec50af";"c939d0c95f80eeac";"68553";"Wed Jul 15 14:42:00 2020"
"Communardo Software GmbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"05.07.2013";"95%";"af75d5dc888ac79ae50ee77806ec50af";"5a628d67a80c7907";"68553";"Wed Jul 15 14:42:00 2020"
"Communardo Software GmbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"25.10.2012";"95%";"af75d5dc888ac79ae50ee77806ec50af";"39d533290c54e7ca";"68553";"Wed Jul 15 14:42:00 2020"
"Communardo Software GmbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"15.09.2011";"95%";"af75d5dc888ac79ae50ee77806ec50af";"7f14811519225e2e";"68553";"Wed Jul 15 14:42:00 2020"
"Communardo Software GmbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"27.04.2010";"95%";"af75d5dc888ac79ae50ee77806ec50af";"80294e3733b994a8";"68553";"Wed Jul 15 14:42:00 2020"
"Communardo Software GmbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"18.03.2009";"95%";"af75d5dc888ac79ae50ee77806ec50af";"d568d376c28a43fd";"68553";"Wed Jul 15 14:42:00 2020"
"Communardo Software GmbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"24.11.2008";"95%";"af75d5dc888ac79ae50ee77806ec50af";"d3869c96632d4fe8";"68553";"Wed Jul 15 14:42:00 2020"
"Communardo Software GmbH Dresden";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2006";"22.01.2008";"95%";"af75d5dc888ac79ae50ee77806ec50af";"6909c38188c85311";"68553";"Wed Jul 15 14:42:00 2020"
