"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Compart AG Böblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2018 bis zum 30.06.2019";"23.12.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"5f454fdac03a6923";"17217";"Wed Jul 15 15:03:32 2020"
"Compart AG Böblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2017 bis zum 30.06.2018";"15.07.2019";"100%";"af75d5dc888ac79ae50ee77806ec50af";"037675d058bce6de";"17217";"Wed Jul 15 15:03:32 2020"
"Compart AG Böblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2016 bis zum 30.06.2017";"27.06.2018";"92%";"af75d5dc888ac79ae50ee77806ec50af";"b02e9065dbede917";"17217";"Wed Jul 15 15:03:32 2020"
"Compart AG Böblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2015 bis zum 30.06.2016";"19.04.2017";"92%";"af75d5dc888ac79ae50ee77806ec50af";"48723b37f9598615";"17217";"Wed Jul 15 15:03:32 2020"
"Compart AG Böblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2014 bis zum 30.06.2015";"09.12.2015";"92%";"af75d5dc888ac79ae50ee77806ec50af";"943640b4b5ec9ae5";"17217";"Wed Jul 15 15:03:32 2020"
"Compart AG Böblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2013 bis zum 30.06.2014";"18.06.2015";"92%";"af75d5dc888ac79ae50ee77806ec50af";"e9a54bede198dd65";"17217";"Wed Jul 15 15:03:32 2020"
"Compart AG Böblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2012 bis zum 30.06.2013";"05.08.2014";"92%";"af75d5dc888ac79ae50ee77806ec50af";"8852991b1319e33d";"17217";"Wed Jul 15 15:03:32 2020"
"Compart AG Böblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss/Jahresfinanzbericht zum Geschäftsjahr vom 01.07.2011 bis zum 30.06.2012";"03.09.2013";"92%";"af75d5dc888ac79ae50ee77806ec50af";"8da1151239a661b7";"17217";"Wed Jul 15 15:03:32 2020"
"Compart AG Böblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2010 bis zum 30.06.2011";"04.07.2012";"92%";"af75d5dc888ac79ae50ee77806ec50af";"5fc2d738390918a6";"17217";"Wed Jul 15 15:03:32 2020"
"Compart AG Böblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2009 bis zum 30.06.2010";"06.07.2011";"92%";"af75d5dc888ac79ae50ee77806ec50af";"fac5079c4181a7af";"17217";"Wed Jul 15 15:03:32 2020"
"Compart AG Böblingen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.07.2008 bis zum 30.06.2009";"08.07.2010";"92%";"af75d5dc888ac79ae50ee77806ec50af";"9afab6c3afb2ee91";"17217";"Wed Jul 15 15:03:32 2020"
