"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"CONSENS Umweltplanung GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"15.01.2020";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"4607e6e906c96702";"36089";"Mon Jul 13 18:00:05 2020"
"CONSENS Umweltplanung GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"03.12.2018";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"db9becf479f7e8e0";"36089";"Mon Jul 13 18:00:05 2020"
"CONSENS Umweltplanung GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"14.03.2018";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"8a9700bb75e6da9d";"36089";"Mon Jul 13 18:00:05 2020"
"CONSENS Umweltplanung GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"22.11.2016";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"45811131731e72cb";"36089";"Mon Jul 13 18:00:05 2020"
"CONSENS Umweltplanung GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"12.02.2016";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"3912a375ac87b68b";"36089";"Mon Jul 13 18:00:05 2020"
"CONSENS Umweltplanung GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"10.02.2015";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"f4a4225908ed5688";"36089";"Mon Jul 13 18:00:05 2020"
"CONSENS Umweltplanung GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"04.03.2014";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"41d2ce0dc9f58ab7";"36089";"Mon Jul 13 18:00:05 2020"
"CONSENS Umweltplanung GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"20.12.2012";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"e2d841ec0ade7da9";"36089";"Mon Jul 13 18:00:05 2020"
"CONSENS Umweltplanung GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"20.02.2012";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"9d6a57c1543b5e11";"36089";"Mon Jul 13 18:00:05 2020"
"CONSENS Umweltplanung GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"24.01.2011";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"30ce7993c720373d";"36089";"Mon Jul 13 18:00:05 2020"
"CONSENS Umweltplanung GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"22.02.2010";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"215f0bf5b6e8548c";"36089";"Mon Jul 13 18:00:05 2020"
"CONSENS Umweltplanung GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"09.02.2009";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"92850254a0478973";"36089";"Mon Jul 13 18:00:05 2020"
"CONSENS Umweltplanung GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31. Dezember 2006";"25.04.2008";"95%";"61aebb4bfd3899b23e2c1374ebe7c217";"772e9f59eb11fff6";"36089";"Mon Jul 13 18:00:05 2020"
