"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Cordaware GmbH Informationslogistik Pfaffenhofen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"04.12.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"e85797a3cc29e55c";"48409";"Thu Jul 16 01:49:16 2020"
"Cordaware GmbH Informationslogistik Pfaffenhofen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"16.01.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"282276e071a04370";"48409";"Thu Jul 16 01:49:16 2020"
"Cordaware GmbH Informationslogistik Pfaffenhofen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"02.01.2018";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"b78aadd684c0f076";"48409";"Thu Jul 16 01:49:16 2020"
"Cordaware GmbH Informationslogistik Pfaffenhofen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"19.10.2016";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"9524e81cdc601869";"48409";"Thu Jul 16 01:49:16 2020"
"Cordaware GmbH Informationslogistik Pfaffenhofen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"15.07.2015";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"c3e36edffff809da";"48409";"Thu Jul 16 01:49:16 2020"
"Cordaware GmbH Informationslogistik Pfaffenhofen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"12.08.2014";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"f780b8ed3c91fd35";"48409";"Thu Jul 16 01:49:16 2020"
"Cordaware GmbH Informationslogistik Pfaffenhofen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"08.01.2014";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"763b1676a1be80ea";"48409";"Thu Jul 16 01:49:16 2020"
"Cordaware GmbH Informationslogistik Pfaffenhofen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"21.01.2013";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"111e636f9722cf6f";"48409";"Thu Jul 16 01:49:16 2020"
"Cordaware GmbH Informationslogistik Pfaffenhofen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"19.01.2012";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"5b558f3a2efe0a21";"48409";"Thu Jul 16 01:49:16 2020"
"Cordaware GmbH Informationslogistik Pfaffenhofen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"10.01.2011";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"8f4890bf56c4403a";"48409";"Thu Jul 16 01:49:16 2020"
"Cordaware GmbH Informationslogistik Pfaffenhofen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"18.01.2010";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"bf9677eba0e78e67";"48409";"Thu Jul 16 01:49:16 2020"
"Cordaware GmbH Informationslogistik Pfaffenhofen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"19.03.2009";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"4707d0ca392e38e7";"48409";"Thu Jul 16 01:49:16 2020"
"Cordaware GmbH Informationslogistik Pfaffenhofen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"21.01.2008";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"95583f653a9982e2";"48409";"Thu Jul 16 01:49:16 2020"
