"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Creative Network Services GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.04.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"a4a5a988fc60aa5f";"11149";"Thu Jul 16 05:18:18 2020"
"CN Creativ Network GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Berichtigung der Veröffentlichung vom 24.04.2018";"31.03.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"035a9ea466b7a9c1";"11149";"Thu Jul 16 05:18:18 2020"
"Creative Network GmbH Laatzen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"09.01.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"a8b37da3a213cdbd";"11149";"Thu Jul 16 05:18:18 2020"
"CN Creativ Network GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.01.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"5fc750c198b88bed";"11149";"Thu Jul 16 05:18:18 2020"
"CN Creativ Network GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Berichtigung der Veröffentlichung vom 24.04.2018";"09.12.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"0c2eec786729a2b6";"11149";"Thu Jul 16 05:18:18 2020"
"Creative Network Services GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"21.01.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"78324257167cd524";"11149";"Thu Jul 16 05:18:18 2020"
"Creative Network Services GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"02.01.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"5135b4f133f17083";"11149";"Thu Jul 16 05:18:18 2020"
"Creative Network GmbH Laatzen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"13.07.2018";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"449f96830a192f0a";"11149";"Thu Jul 16 05:18:18 2020"
"CN Creativ Network GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Berichtigt am 09.12.2019";"24.04.2018";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"568c78be8fce3af7";"11149";"Thu Jul 16 05:18:18 2020"
"CN Creativ Network GmbH Köln";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Berichtigt am 31.03.2020";"24.04.2018";"95%";"aba51bcc9fdd59516710d900a8a5ca24";"e39469633f372657";"11149";"Thu Jul 16 05:18:18 2020"
