"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Crossroads Europe GmbH Schwäbisch Gmünd";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.11.2017 bis zum 31.10.2018";"20.05.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"2a5fa58272678915";"47274";"Wed Jul 15 07:43:30 2020"
"Crossroads Europe GmbH Schwäbisch Gmünd";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.11.2016 bis zum 31.10.2017";"12.12.2017";"95%";"c1affca00be00815e8f7ff00abde0b30";"da733d0bdabd961a";"47274";"Wed Jul 15 07:43:30 2020"
"Crossroads Europe GmbH Schwäbisch Gmünd";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.11.2015 bis zum 31.10.2016";"08.12.2017";"95%";"c1affca00be00815e8f7ff00abde0b30";"299ab1937940453a";"47274";"Wed Jul 15 07:43:30 2020"
"Crossroads Europe GmbH Schwäbisch Gmünd";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.11.2014 bis zum 31.10.2015";"24.08.2016";"95%";"c1affca00be00815e8f7ff00abde0b30";"fd7b59551882f9b7";"47274";"Wed Jul 15 07:43:30 2020"
"Crossroads Europe GmbH Schwäbisch Gmünd";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.11.2012 bis zum 31.10.2013";"29.12.2014";"95%";"c1affca00be00815e8f7ff00abde0b30";"f74ff0aebfc68057";"47274";"Wed Jul 15 07:43:30 2020"
"Crossroads Europe GmbH Schwäbisch Gmünd";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.11.2011 bis zum 31.10.2012";"05.12.2013";"95%";"c1affca00be00815e8f7ff00abde0b30";"59bf60b829326cb0";"47274";"Wed Jul 15 07:43:30 2020"
"Crossroads Europe GmbH Schwäbisch Gmünd";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.11.2010 bis zum 31.10.2011";"31.10.2012";"95%";"c1affca00be00815e8f7ff00abde0b30";"6cf456fcdb6d6840";"47274";"Wed Jul 15 07:43:30 2020"
"Crossroads Europe GmbH Schwäbisch Gmünd";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.11.2009 bis zum 31.10.2010";"02.11.2011";"95%";"c1affca00be00815e8f7ff00abde0b30";"73f8ea0b41774588";"47274";"Wed Jul 15 07:43:30 2020"
"Crossroads Europe GmbH Schwäbisch Gmünd";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.11.2008 bis zum 31.10.2009";"29.10.2010";"95%";"c1affca00be00815e8f7ff00abde0b30";"7ce1bb147f92e1fc";"47274";"Wed Jul 15 07:43:30 2020"
"Crossroads Europe GmbH (vormals Crossroads Systems (Deutschland) GmbH) Schwäbisch Gmünd (vormals Viersen)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.11.2007 bis zum 31.10.2008";"02.11.2009";"95%";"c1affca00be00815e8f7ff00abde0b30";"7edaa611d8ccb028";"47274";"Wed Jul 15 07:43:30 2020"
"Crossroads Europe GmbH Schwäbisch Gmünd";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.11.2006 bis zum 31.10.2007";"04.03.2009";"95%";"c1affca00be00815e8f7ff00abde0b30";"ab6cf7c1dbaaa036";"47274";"Wed Jul 15 07:43:30 2020"
