"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"DATAX Consult Internetservices GmbH Burgdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"13.01.2020";"100%";"c1affca00be00815e8f7ff00abde0b30";"2efb73b7310051b3";"80713";"Wed Jul 15 09:29:52 2020"
"DATAX Consult Internetservices GmbH Burgdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"15.11.2018";"100%";"c1affca00be00815e8f7ff00abde0b30";"f1429c8ba23a0c44";"80713";"Wed Jul 15 09:29:52 2020"
"DATAX Consult Internetservices GmbH Burgdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"11.01.2018";"97%";"c1affca00be00815e8f7ff00abde0b30";"a4296d852e72c304";"80713";"Wed Jul 15 09:29:52 2020"
"DATAX Consult Internetservices GmbH Burgdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"13.09.2016";"97%";"c1affca00be00815e8f7ff00abde0b30";"ea0063edec77c12e";"80713";"Wed Jul 15 09:29:52 2020"
"DATAX Consult Internetservices GmbH Burgdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"12.02.2016";"97%";"c1affca00be00815e8f7ff00abde0b30";"3d79fdb1fdc6630c";"80713";"Wed Jul 15 09:29:52 2020"
"DATAX Consult Internetservices GmbH Burgdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"01.04.2015";"97%";"c1affca00be00815e8f7ff00abde0b30";"20ba2a4b7b5d35a1";"80713";"Wed Jul 15 09:29:52 2020"
"DATAX Consult Internetservices GmbH Burgdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"05.11.2013";"97%";"c1affca00be00815e8f7ff00abde0b30";"a88f9a02c1d956d1";"80713";"Wed Jul 15 09:29:52 2020"
"DATAX Consult Internetservices GmbH Burgdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"14.01.2013";"97%";"c1affca00be00815e8f7ff00abde0b30";"44210ce5887e61cc";"80713";"Wed Jul 15 09:29:52 2020"
"DATAX Consult Internetservices GmbH Burgdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"08.02.2012";"97%";"c1affca00be00815e8f7ff00abde0b30";"2161bbee677c3c8b";"80713";"Wed Jul 15 09:29:52 2020"
"DATAX Consult Internetservices GmbH Burgdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"25.03.2011";"97%";"c1affca00be00815e8f7ff00abde0b30";"a8d6874ebdb5441d";"80713";"Wed Jul 15 09:29:52 2020"
"DATAX Consult Internetservices GmbH Burgdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"29.05.2009";"97%";"c1affca00be00815e8f7ff00abde0b30";"e355f3820ad219a8";"80713";"Wed Jul 15 09:29:52 2020"
"DATAX Consult Internetservices GmbH Burgdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"23.01.2009";"97%";"c1affca00be00815e8f7ff00abde0b30";"cdbc397f40299cf5";"80713";"Wed Jul 15 09:29:52 2020"
"DATAX Consult Internetservices GmbH 31303 Burgdorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"01.04.2008";"97%";"c1affca00be00815e8f7ff00abde0b30";"dbb3020b98678979";"80713";"Wed Jul 15 09:29:52 2020"
