"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Devoss GmbH Gräfelfing";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"13.11.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"de13bbb5f1908e47";"72201";"Thu Jul 16 01:13:35 2020"
"Devoss GmbH Gräfelfing";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"01.10.2018";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"108f6bb9fe43e8c2";"72201";"Thu Jul 16 01:13:35 2020"
"Devoss GmbH (vormals: DEVOSS GmbH) Gräfelfing (vormals: Bad Tölz)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"07.12.2017";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"7fccad08df629fde";"72201";"Thu Jul 16 01:13:35 2020"
"DEVOSS GmbH Bad Tölz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"13.12.2016";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"c6140d9bc6fcf1ed";"72201";"Thu Jul 16 01:13:35 2020"
"DEVOSS GmbH Bad Tölz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"12.11.2015";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"4458549b70bf88b4";"72201";"Thu Jul 16 01:13:35 2020"
"DEVOSS GmbH Bad Tölz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"10.12.2014";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"16e1865a40a69511";"72201";"Thu Jul 16 01:13:35 2020"
"DEVOSS GmbH Bad Tölz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"11.11.2013";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"e02986a9145601e1";"72201";"Thu Jul 16 01:13:35 2020"
"DEVOSS GmbH Bad Tölz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"21.12.2012";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"f28d97c9a75c4868";"72201";"Thu Jul 16 01:13:35 2020"
"DEVOSS GmbH Bad Tölz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"16.01.2012";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"97ac1403bd36293b";"72201";"Thu Jul 16 01:13:35 2020"
"DEVOSS GmbH Bad Tölz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"20.01.2011";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"8c0b45de7a890d00";"72201";"Thu Jul 16 01:13:35 2020"
"DEVOSS GmbH Bad Tölz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"06.10.2009";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"ef1af5127ed2a5fa";"72201";"Thu Jul 16 01:13:35 2020"
"DEVOSS GmbH Bad Tölz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"08.05.2009";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"2cb5b452c7069444";"72201";"Thu Jul 16 01:13:35 2020"
"DEVOSS Gmbh Bad Tölz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"07.04.2008";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"a833d2866efcf45e";"72201";"Thu Jul 16 01:13:35 2020"
