"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Die JugendHerbergen (DJH) gemeinnützige Gesellschaft mit beschränkter Haftung Bremen";"Rechnungslegung/ Finanzberichte";"» Jahres- und Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.01.2020";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"e45e96301b96913e";"88458";"Wed Jul 15 20:43:01 2020"
"DJH Gemeinsam Arbeiten gemeinnützige GmbH, Bremen; Gemeinschaft Erleben GmbH, Bremen";"Wed Jul 15 20:43:01 2020";"";"";"";"";"";"";""
"DJH Gemeinsam Arbeiten gemeinnützige GmbH (Bremen),  Gemeinschaft Erleben GmbH (Bremen) Bremen";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Die JugendHerbergen (DJH) gemeinnützige Gesellschaft mit beschränkter Haftung (Bremen)";"23.01.2020";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"66dc63ced28d614c";"88458";"Wed Jul 15 20:43:01 2020"
"Die JugendHerbergen (DJH) gemeinnützige Gesellschaft mit beschränkter Haftung Bremen";"» Jahres- und Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.01.2020";"9f640089e0eb51d0473f169a5e9dfb07";"66dc63ced28d614c";"88458";"Wed Jul 15 20:43:01 2020";"";""
"DJH-Jugendgästehaus Adolph Kolping g.GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"15.11.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"0351608dac7ca2a6";"88458";"Wed Jul 15 20:43:01 2020"
"Die JugendHerbergen (DJH) gemeinnützige Gesellschaft mit beschränkter Haftung Bremen";"Rechnungslegung/ Finanzberichte";"» Jahres- und Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"18.03.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"6dd94ba17222da0f";"88458";"Wed Jul 15 20:43:01 2020"
"DJH Gemeinsam Arbeiten gemeinnützige GmbH, Bremen; Gemeinschaft Erleben GmbH, Bremen";"Wed Jul 15 20:43:01 2020";"";"";"";"";"";"";""
"DJH Gemeinsam Arbeiten gemeinnützige GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Die JugendHerbergen (DJH) gemeinnützige Gesellschaft mit beschränkter Haftung (Bremen)";"08.03.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"d6f0aa0319a75d16";"88458";"Wed Jul 15 20:43:01 2020"
"Die JugendHerbergen (DJH) gemeinnützige Gesellschaft mit beschränkter Haftung Bremen";"» Jahres- und Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"18.03.2019";"9f640089e0eb51d0473f169a5e9dfb07";"d6f0aa0319a75d16";"88458";"Wed Jul 15 20:43:01 2020";"";""
"DJH-Jugendgästehaus Adolph Kolping g.GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"10.12.2018";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"a3a08951e068cf3b";"88458";"Wed Jul 15 20:43:01 2020"
"Die JugendHerbergen (DJH) gemeinnützige Gesellschaft mit beschränkter Haftung Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"07.06.2018";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"49f30e8a442dad3b";"88458";"Wed Jul 15 20:43:01 2020"
"DJH Gemeinsam Arbeiten gemeinnützige GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016 Die JugendHerbergen (DJH) gemeinnützige Gesellschaft mit beschränkter Haftung (Bremen)";"16.02.2018";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"49c1a993a1500765";"88458";"Wed Jul 15 20:43:01 2020"
"Die JugendHerbergen (DJH) gemeinnützige Gesellschaft mit beschränkter Haftung Bremen";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"07.02.2018";"9f640089e0eb51d0473f169a5e9dfb07";"49c1a993a1500765";"88458";"Wed Jul 15 20:43:01 2020";"";""
"Die JugendHerbergen (DJH) gemeinnützige Gesellschaft mit beschränkter Haftung Bremen";"Rechnungslegung/ Finanzberichte";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"07.02.2018";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"6674c4cc733d4225";"88458";"Wed Jul 15 20:43:01 2020"
"DJH Gemeinsam Arbeiten gemeinnützige GmbH, Bremen; Gemeinschaft Erleben GmbH, Bremen";"Wed Jul 15 20:43:01 2020";"";"";"";"";"";"";""
"DJH-Jugendgästehaus Adolph Kolping g.GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"27.12.2017";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"8a6cddca9d6b9377";"88458";"Wed Jul 15 20:43:01 2020"
"Die JugendHerbergen (DJH) gemeinnützige Gesellschaft mit beschränkter Haftung Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"14.03.2017";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"f92817b31edecd94";"88458";"Wed Jul 15 20:43:01 2020"
"DJH Gemeinsam Arbeiten gemeinnützige GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"11.01.2017";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"be457f8815a310be";"88458";"Wed Jul 15 20:43:01 2020"
"DJH-Jugendgästehaus Adolph Kolping g.GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"11.11.2016";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"77306bf90a23f22b";"88458";"Wed Jul 15 20:43:01 2020"
"DJH Service GmbH Detmold";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"16.06.2016";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"ec6bc700d4332e49";"88458";"Wed Jul 15 20:43:01 2020"
"Die JugendHerbergen (DJH) gemeinnützige Gesellschaft mit beschränkter Haftung Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"22.02.2016";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"1baafc169631d18c";"88458";"Wed Jul 15 20:43:01 2020"
"DJH Gemeinsam Arbeiten gemeinnützige GmbH Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"04.01.2016";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"91574c7aa4495044";"88458";"Wed Jul 15 20:43:01 2020"
"DJH-Jugendgästehaus Adolph Kolping g.GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"26.11.2015";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"51556e3554a0961c";"88458";"Wed Jul 15 20:43:01 2020"
"DJH Service GmbH i.L. Detmold";"Rechnungslegung/ Finanzberichte";"» Liquidationseröffnungsbilanz zum 01.01.2014";"20.05.2015";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"9fa624ec0311ff55";"88458";"Wed Jul 15 20:43:01 2020"
"DJH Service GmbH Detmold";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"19.03.2015";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"58031e9bdb1bf3ad";"88458";"Wed Jul 15 20:43:01 2020"
"Die JugendHerbergen (DJH) gemeinnützige Gesellschaft mit beschränkter Haftung Bremen";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"05.03.2015";"83%";"9f640089e0eb51d0473f169a5e9dfb07";"c81327d0161620b1";"88458";"Wed Jul 15 20:43:01 2020"
