"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"WBI Prof. Dr.-Ing. W. Wittke Beratende Ingenieure für Grundbau und Felsbau GmbH Weinheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019";"29.06.2020";"100%";"7abe1ee1da15273d67e9073ace4913de";"3813d8157edad464";"40434";"Fri Jul  3 14:32:18 2020"
"WBI,  Warner Bau- und Industriemaschinen GmbH Langenfeld";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"05.03.2020";"100%";"7abe1ee1da15273d67e9073ace4913de";"a965bbfe5b8fa03e";"40434";"Fri Jul  3 14:32:18 2020"
"WBI Weber Bau & Immobilien GmbH Mettenheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"02.03.2020";"100%";"7abe1ee1da15273d67e9073ace4913de";"735cbc2c0ff116b5";"40434";"Fri Jul  3 14:32:18 2020"
"WBI germany GmbH Wegberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"05.02.2020";"100%";"7abe1ee1da15273d67e9073ace4913de";"3adbdff6e6c105a0";"40434";"Fri Jul  3 14:32:18 2020"
"WBI Hausbau GmbH Wankendorf";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"28.01.2020";"100%";"7abe1ee1da15273d67e9073ace4913de";"9062f3ed1860ed33";"40434";"Fri Jul  3 14:32:18 2020"
"WBI Prof. Dr.-Ing. W. Wittke Beratende Ingenieure für Grundbau und Felsbau GmbH Weinheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.01.2020";"100%";"7abe1ee1da15273d67e9073ace4913de";"d1d509293ba6b183";"40434";"Fri Jul  3 14:32:18 2020"
"WBI Wallner u. Brand Ingenieurgesellschaft mbH Lampertheim";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"20.01.2020";"100%";"7abe1ee1da15273d67e9073ace4913de";"9fbde35597ee56bc";"40434";"Fri Jul  3 14:32:18 2020"
"WBI Technikhandel GmbH Staßfurt";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"17.01.2020";"100%";"7abe1ee1da15273d67e9073ace4913de";"bf985ce909d3f79e";"40434";"Fri Jul  3 14:32:18 2020"
"WBI Weber Bau & Immobilien GmbH (vormals: Event-Ripper GmbH) Mettenheim (vormals: Darmstadt)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"12.12.2019";"100%";"7abe1ee1da15273d67e9073ace4913de";"1cebe6fc1e769b4a";"40434";"Fri Jul  3 14:32:18 2020"
"Weiterbildungsinstitut WbI GmbH Dortmund";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"25.11.2019";"100%";"7abe1ee1da15273d67e9073ace4913de";"3bec4e8186089eff";"40434";"Fri Jul  3 14:32:18 2020"
