"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"kiecom GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.08.2019";"100%";"37e33a45906022b61bfe0f7fbb52d024";"fdb8fb8158710cfa";"92002";"Fri Jul  3 14:36:02 2020"
"kiecom GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"06.12.2018";"100%";"37e33a45906022b61bfe0f7fbb52d024";"a9dcd99b809dca49";"92002";"Fri Jul  3 14:36:02 2020"
"kiecom GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"07.12.2017";"92%";"37e33a45906022b61bfe0f7fbb52d024";"d82424525d0efe0b";"92002";"Fri Jul  3 14:36:02 2020"
"kiecom GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"12.08.2016";"92%";"37e33a45906022b61bfe0f7fbb52d024";"9c8d40ac2e395592";"92002";"Fri Jul  3 14:36:02 2020"
"kiecom GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"14.10.2015";"92%";"37e33a45906022b61bfe0f7fbb52d024";"80feae748e7612aa";"92002";"Fri Jul  3 14:36:02 2020"
"kiecom GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"03.12.2014";"92%";"37e33a45906022b61bfe0f7fbb52d024";"9b84a4db1c29616e";"92002";"Fri Jul  3 14:36:02 2020"
"kiecom GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"29.11.2013";"92%";"37e33a45906022b61bfe0f7fbb52d024";"a389f46ca29c667f";"92002";"Fri Jul  3 14:36:02 2020"
"kiecom GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"27.12.2012";"92%";"37e33a45906022b61bfe0f7fbb52d024";"4748b8623c1a5438";"92002";"Fri Jul  3 14:36:02 2020"
"kiecom GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"21.12.2011";"92%";"37e33a45906022b61bfe0f7fbb52d024";"802f432c9ed08a1e";"92002";"Fri Jul  3 14:36:02 2020"
"kiecom GmbH München";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"17.09.2010";"92%";"37e33a45906022b61bfe0f7fbb52d024";"fbfbef86e131cc0c";"92002";"Fri Jul  3 14:36:02 2020"
