"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"DOCWARE Gesellschaft für rechnergestützte Dokumentation,  Konstruktion und Softwaretechnik mbH Fürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"17.04.2020";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"477c09fba0dbc0a6";"40111";"Wed Jul 15 19:29:34 2020"
"DOCWARE Gesellschaft für rechnergestützte Dokumentation,  Konstruktion und Softwaretechnik mbH Fürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"11.02.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"bf3c9d44344cabf7";"40111";"Wed Jul 15 19:29:34 2020"
"DOCWARE Gesellschaft für rechnergestützte Dokumentation,  Konstruktion und Softwaretechnik mbH Fürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"22.08.2017";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"e4bbfd6e91454af4";"40111";"Wed Jul 15 19:29:34 2020"
"DOCWARE Gesellschaft für rechnergestützte Dokumentation,  Konstruktion und Softwaretechnik mbH Fürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"25.07.2016";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"8fd8c3c22ad316ab";"40111";"Wed Jul 15 19:29:34 2020"
"DOCWARE Gesellschaft für rechnergestützte Dokumentation,  Konstruktion und Softwaretechnik mbH Fürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"18.02.2016";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"7f3764d8c521e510";"40111";"Wed Jul 15 19:29:34 2020"
"DOCWARE Gesellschaft für rechnergestützte Dokumentation,  Konstruktion und Softwaretechnik mbH Fürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"04.08.2014";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"80ff73dfeaa53b86";"40111";"Wed Jul 15 19:29:34 2020"
"DOCWARE Gesellschaft für rechnergestützte Dokumentation,  Konstruktion und Softwaretechnik mbH Fürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"20.01.2014";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"ba0cae3d0b24c192";"40111";"Wed Jul 15 19:29:34 2020"
"DOCWARE Gesellschaft für rechnergestützte Dokumentation,  Konstruktion und Softwaretechnik mbH Fürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"27.03.2013";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"2517b2f4d58f9a19";"40111";"Wed Jul 15 19:29:34 2020"
"DOCWARE Gesellschaft für rechnergestützte Dokumentation,  Konstruktion und Softwaretechnik mbH Fürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"23.01.2012";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"7d83b27f56d58178";"40111";"Wed Jul 15 19:29:34 2020"
"DOCWARE Gesellschaft für rechnergestützte Dokumentation,  Konstruktion und Softwaretechnik mbH Fürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"02.02.2011";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"27c6d908d8e56f79";"40111";"Wed Jul 15 19:29:34 2020"
"DOCWARE Gesellschaft für rechnergestützte Dokumentation,  Konstruktion und Softwaretechnik mbH Fürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"14.01.2010";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"e536382aa066f371";"40111";"Wed Jul 15 19:29:34 2020"
"DOCWARE Gesellschaft für rechnergestützte Dokumentation,  Konstruktion und Softwaretechnik mbH Fürth";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2007";"07.10.2008";"99%";"aba51bcc9fdd59516710d900a8a5ca24";"55b2498cf1f645ba";"40111";"Wed Jul 15 19:29:34 2020"
