"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"DRK Landesverband Westfalen-Lippe Betriebswirtschaftliche Beratungs- und Service-GmbH Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"27.12.2019";"100%";"1d7580fe1877930fb5835ea85d1f7b11";"82a7fabe18eb2abf";"02386";"Mon Jul 13 12:19:21 2020"
"DRK Landesverband Westfalen-Lippe Betriebswirtschaftliche Beratungs- und Service-GmbH Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"27.12.2018";"100%";"1d7580fe1877930fb5835ea85d1f7b11";"6f726144b0e8043e";"02386";"Mon Jul 13 12:19:21 2020"
"DRK Landesverband Westfalen-Lippe Betriebswirtschaftliche Beratungs- und Service-GmbH Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"24.01.2018";"99%";"1d7580fe1877930fb5835ea85d1f7b11";"b946d59d000a4c54";"02386";"Mon Jul 13 12:19:21 2020"
"DRK Landesverband Westfalen-Lippe Betriebswirtschaftliche Beratungs- und Service-GmbH Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"12.01.2017";"99%";"1d7580fe1877930fb5835ea85d1f7b11";"53abe9a753bdaf25";"02386";"Mon Jul 13 12:19:21 2020"
"DRK Landesverband Westfalen-Lippe Betriebswirtschaftliche Beratungs- und Service-GmbH Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"03.02.2016";"99%";"1d7580fe1877930fb5835ea85d1f7b11";"09875798c9a87a1a";"02386";"Mon Jul 13 12:19:21 2020"
"DRK Landesverband Westfalen-Lippe Betriebswirtschaftliche Beratungs- und Service-GmbH Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"27.01.2015";"99%";"1d7580fe1877930fb5835ea85d1f7b11";"2436abe77c5e2fbf";"02386";"Mon Jul 13 12:19:21 2020"
"DRK Landesverband Westfalen-Lippe Betriebswirtschaftliche Beratungs- und Service-GmbH Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"07.01.2014";"99%";"1d7580fe1877930fb5835ea85d1f7b11";"86380ef08db2320d";"02386";"Mon Jul 13 12:19:21 2020"
"DRK Landesverband Westfalen-Lippe Betriebswirtschaftliche Beratungs- und Service-GmbH Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"20.11.2012";"99%";"1d7580fe1877930fb5835ea85d1f7b11";"bd72a5c8708a8090";"02386";"Mon Jul 13 12:19:21 2020"
"DRK Landesverband Westfalen-Lippe Betriebswirtschaftliche Beratungs- und Service-GmbH Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"12.01.2012";"99%";"1d7580fe1877930fb5835ea85d1f7b11";"965885a8ead4107a";"02386";"Mon Jul 13 12:19:21 2020"
"DRK Landesverband Westfalen-Lippe Betriebswirtschaftliche Beratungs- und Service-GmbH Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"29.12.2010";"99%";"1d7580fe1877930fb5835ea85d1f7b11";"37007a349cc3d768";"02386";"Mon Jul 13 12:19:21 2020"
"DRK Landesverband Westfalen-Lippe Betriebswirtschaftliche Beratungs- und Service-GmbH Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"16.02.2010";"99%";"1d7580fe1877930fb5835ea85d1f7b11";"d4d6afaf18e65269";"02386";"Mon Jul 13 12:19:21 2020"
"DRK Landesverband Westfalen-Lippe Betriebswirtschaftliche Beratungs- und Service-GmbH Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"20.11.2008";"99%";"1d7580fe1877930fb5835ea85d1f7b11";"6a56e4acc9fe12b7";"02386";"Mon Jul 13 12:19:21 2020"
"DRK Landesverband Westfalen-Lippe Betriebswirtschaftliche Beratungs- und Service GmbH Münster";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"06.03.2008";"99%";"1d7580fe1877930fb5835ea85d1f7b11";"369400e13d72e0c5";"02386";"Mon Jul 13 12:19:21 2020"
