"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"DaPhi GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"01.10.2019";"100%";"aba51bcc9fdd59516710d900a8a5ca24";"de3a09854dd1037f";"88607";"Wed Jul 15 22:08:01 2020"
"DaPhi GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"11.07.2018";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"59f167a9912e888b";"88607";"Wed Jul 15 22:08:01 2020"
"DaPhi GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"02.01.2018";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"c176a0274c53185d";"88607";"Wed Jul 15 22:08:01 2020"
"DaPhi GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"28.11.2016";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"a49efced9c586134";"88607";"Wed Jul 15 22:08:01 2020"
"DaPhi GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"14.01.2016";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"42e926a6974a5166";"88607";"Wed Jul 15 22:08:01 2020"
"DaPhi GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"09.01.2015";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"9cdd24ad8ae2eb6e";"88607";"Wed Jul 15 22:08:01 2020"
"DaPhi GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"03.02.2014";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"f2a11e44f1ee4600";"88607";"Wed Jul 15 22:08:01 2020"
"DaPhi GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"15.04.2013";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"4c0a186aa8a2ca99";"88607";"Wed Jul 15 22:08:01 2020"
"DaPhi GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"15.12.2011";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"0152ebff25a6d18a";"88607";"Wed Jul 15 22:08:01 2020"
"DaPhi GmbH Berlin";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"13.04.2011";"92%";"aba51bcc9fdd59516710d900a8a5ca24";"58c5fb59bcc63784";"88607";"Wed Jul 15 22:08:01 2020"
