"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Die Freiräumer GmbH Schwerte";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"04.06.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"f6e8884e858a0b2f";"54332";"Wed Jul 15 12:22:00 2020"
"Die Freiräumer GmbH Schwerte";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"22.01.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"c18527a2fa2219eb";"54332";"Wed Jul 15 12:22:00 2020"
"Die Freiräumer GmbH Schwerte";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"17.01.2018";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"513348ee2103b18a";"54332";"Wed Jul 15 12:22:00 2020"
"Die Freiräumer GmbH Schwerte";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"08.06.2016";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"28684acbc3ba088f";"54332";"Wed Jul 15 12:22:00 2020"
"Die Freiräumer GmbH Schwerte";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"12.01.2016";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"b36a61b88c8d4e5d";"54332";"Wed Jul 15 12:22:00 2020"
"Die Freiräumer GmbH Schwerte";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"19.12.2014";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"a352ee20af621b3a";"54332";"Wed Jul 15 12:22:00 2020"
"Die Freiräumer GmbH Schwerte";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"20.12.2013";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"b2fccf4da044caef";"54332";"Wed Jul 15 12:22:00 2020"
"Die Freiräumer GmbH Schwerte";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"08.01.2013";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"c5c2d70fbf4bb422";"54332";"Wed Jul 15 12:22:00 2020"
"Die Freiräumer GmbH Schwerte";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"04.01.2012";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"90ec6964e5db017f";"54332";"Wed Jul 15 12:22:00 2020"
"Die Freiräumer GmbH Schwerte";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"13.01.2011";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"1bc849942a8fbe90";"54332";"Wed Jul 15 12:22:00 2020"
