"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Dixeno GmbH Paderborn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"06.03.2020";"100%";"c1affca00be00815e8f7ff00abde0b30";"e462f27f32bf72c0";"02553";"Wed Jul 15 14:10:35 2020"
"Dixeno GmbH Paderborn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"09.01.2019";"100%";"c1affca00be00815e8f7ff00abde0b30";"8b24f52e9a78d5aa";"02553";"Wed Jul 15 14:10:35 2020"
"Dixeno GmbH Paderborn (vormals: Medebach)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"13.12.2017";"92%";"c1affca00be00815e8f7ff00abde0b30";"b7994f3691793b0d";"02553";"Wed Jul 15 14:10:35 2020"
"Dixeno GmbH Paderborn";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"05.01.2017";"92%";"c1affca00be00815e8f7ff00abde0b30";"9192989e9285fe0a";"02553";"Wed Jul 15 14:10:35 2020"
"Dixeno GmbH Medebach";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"23.12.2015";"92%";"c1affca00be00815e8f7ff00abde0b30";"7e6cbe04dbd388b6";"02553";"Wed Jul 15 14:10:35 2020"
"Dixeno GmbH Medebach (vormals: Winterberg)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"16.01.2015";"92%";"c1affca00be00815e8f7ff00abde0b30";"c3c07d5449b260a7";"02553";"Wed Jul 15 14:10:35 2020"
"Dixeno GmbH Medebach (vormals: Winterberg)";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"10.02.2014";"92%";"c1affca00be00815e8f7ff00abde0b30";"4f5c76873ac5c5b2";"02553";"Wed Jul 15 14:10:35 2020"
"Dixeno GmbH Winterberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"07.01.2013";"92%";"c1affca00be00815e8f7ff00abde0b30";"0329a9a2c9869679";"02553";"Wed Jul 15 14:10:35 2020"
"Dixeno GmbH Winterberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"06.12.2011";"92%";"c1affca00be00815e8f7ff00abde0b30";"3928db31e5c780b7";"02553";"Wed Jul 15 14:10:35 2020"
"Dixeno GmbH Winterberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"20.01.2011";"92%";"c1affca00be00815e8f7ff00abde0b30";"58b54e040b8e1d2e";"02553";"Wed Jul 15 14:10:35 2020"
"Dixeno GmbH Winterberg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 28.03.2008 bis zum 31.12.2008";"11.01.2010";"92%";"c1affca00be00815e8f7ff00abde0b30";"adbf6658b4bbea92";"02553";"Wed Jul 15 14:10:35 2020"
