"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Dr. Regenold GmbH Badenweiler";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"28.11.2019";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"e1008a7ffcd573de";"30194";"Tue Jul 14 02:37:56 2020"
"Dr. Regenold GmbH Badenweiler";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"09.11.2018";"100%";"9f0e12c7f320e17bd3028846fa49a6eb";"717d7d33b16d8beb";"30194";"Tue Jul 14 02:37:56 2020"
"Dr. Regenold GmbH Badenweiler";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"17.08.2017";"95%";"9f0e12c7f320e17bd3028846fa49a6eb";"cb54e4801ae2fa0f";"30194";"Tue Jul 14 02:37:56 2020"
"Dr. Regenold GmbH (vormals: Dr. Regenold GmbH Development·Regulatory·Market Access) Badenweiler";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"28.09.2016";"95%";"9f0e12c7f320e17bd3028846fa49a6eb";"3c0c95256fc1744c";"30194";"Tue Jul 14 02:37:56 2020"
"Dr. Regenold GmbH Development·Regulatory·Market Access (vormals: Dr. Regenold GmbH
                                       International Regulatory Affairs) Badenweiler";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"05.08.2015";"95%";"9f0e12c7f320e17bd3028846fa49a6eb";"ada481eaf1b4c637";"30194";"Tue Jul 14 02:37:56 2020"
"Dr. Regenold GmbH International Regulatory Affairs Badenweiler";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"03.11.2014";"95%";"9f0e12c7f320e17bd3028846fa49a6eb";"6d1da54fb7191376";"30194";"Tue Jul 14 02:37:56 2020"
"Dr. Regenold GmbH International Regulatory Affairs Badenweiler";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"17.12.2013";"95%";"9f0e12c7f320e17bd3028846fa49a6eb";"599d94c41ace4090";"30194";"Tue Jul 14 02:37:56 2020"
"Dr. Regenold GmbH International Regulatory Affairs Badenweiler";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"04.01.2013";"95%";"9f0e12c7f320e17bd3028846fa49a6eb";"27a9a3fcdae4eebf";"30194";"Tue Jul 14 02:37:56 2020"
"Dr. Regenold GmbH International Regulatory Affairs Badenweiler";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"18.01.2012";"95%";"9f0e12c7f320e17bd3028846fa49a6eb";"e1ea2470754e9db2";"30194";"Tue Jul 14 02:37:56 2020"
"Dr. Regenold GmbH International Regulatory Affairs Badenweiler";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"21.01.2011";"95%";"9f0e12c7f320e17bd3028846fa49a6eb";"d042eb9a49ae2ac1";"30194";"Tue Jul 14 02:37:56 2020"
"Dr. Regenold GmbH International Regulatory Affairs Badenweiler";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"18.02.2010";"95%";"9f0e12c7f320e17bd3028846fa49a6eb";"6c185e78716104b2";"30194";"Tue Jul 14 02:37:56 2020"
"Dr. Regenold GmbH International Regulatory Affairs Badenweiler";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"29.12.2008";"95%";"9f0e12c7f320e17bd3028846fa49a6eb";"07ad5d5a7f75f476";"30194";"Tue Jul 14 02:37:56 2020"
"Dr. Regenold GmbH Badenweiler";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"09.01.2008";"95%";"9f0e12c7f320e17bd3028846fa49a6eb";"4de2bc3c8a37de1f";"30194";"Tue Jul 14 02:37:56 2020"
