"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum  30. Juni 2016";"26.09.2016";"45%";"af75d5dc888ac79ae50ee77806ec50af";"3c323b5c6ca6e96b";"58344";"Wed Jul 15 17:23:33 2020"
"Société Générale Effekten GmbH Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2014";"08.09.2014";"45%";"af75d5dc888ac79ae50ee77806ec50af";"2c1208afc5d9babf";"58344";"Wed Jul 15 17:23:33 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2019";"24.10.2019";"10%";"af75d5dc888ac79ae50ee77806ec50af";"23be85cf27edf302";"58344";"Wed Jul 15 17:23:33 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2018";"31.08.2018";"10%";"af75d5dc888ac79ae50ee77806ec50af";"a2133c08f98409b4";"58344";"Wed Jul 15 17:23:33 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2017";"29.12.2017";"5%";"af75d5dc888ac79ae50ee77806ec50af";"0588feb464af1403";"58344";"Wed Jul 15 17:23:33 2020"
"CPI PROPERTY GROUP Luxembourg";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2017";"21.09.2017";"5%";"af75d5dc888ac79ae50ee77806ec50af";"976b5c5ad4299d4b";"58344";"Wed Jul 15 17:23:33 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2015";"02.10.2015";"5%";"af75d5dc888ac79ae50ee77806ec50af";"2bf2ebee0163b949";"58344";"Wed Jul 15 17:23:33 2020"
"Landwirtschaftliche Rentenbank Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2013";"16.09.2013";"5%";"af75d5dc888ac79ae50ee77806ec50af";"54bc9fec8141cc79";"58344";"Wed Jul 15 17:23:33 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2011 Berichtigung der Veröffentlichung vom 23.09.2011";"18.10.2011";"5%";"af75d5dc888ac79ae50ee77806ec50af";"9e05691935ca5d45";"58344";"Wed Jul 15 17:23:33 2020"
"Landesbank Hessen-Thüringen Girozentrale Frankfurt am Main / Erfurt";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2010";"26.11.2010";"5%";"af75d5dc888ac79ae50ee77806ec50af";"8129d4c5132657c3";"58344";"Wed Jul 15 17:23:33 2020"
"Landwirtschaftliche Rentenbank Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht";"13.10.2010";"5%";"af75d5dc888ac79ae50ee77806ec50af";"e921228f0996eba1";"58344";"Wed Jul 15 17:23:33 2020"
"PC-Ware Information Technologies AG Leipzig";"Rechnungslegung/ Finanzberichte";"» Quartalsfinanzbericht";"11.03.2010";"5%";"af75d5dc888ac79ae50ee77806ec50af";"81b248fa2140986a";"58344";"Wed Jul 15 17:23:33 2020"
"Wacker Chemie AG München";"Rechnungslegung/ Finanzberichte";"» Bericht über das 3. Quartal 2007";"04.02.2008";"5%";"af75d5dc888ac79ae50ee77806ec50af";"23aee88c073c00b8";"58344";"Wed Jul 15 17:23:33 2020"
"WizCom Technologies Ltd. Jerusalem";"Rechnungslegung/ Finanzberichte";"» WizCom Announces Financial Results for the first half fiscal year 2007";"31.08.2007";"5%";"af75d5dc888ac79ae50ee77806ec50af";"1df1959b97b050a9";"58344";"Wed Jul 15 17:23:33 2020"
"Bayer Aktiengesellschaft Leverkusen";"Rechnungslegung/ Finanzberichte";"» Konzern-Quartalsbericht zum 31. März 2007";"30.08.2007";"5%";"af75d5dc888ac79ae50ee77806ec50af";"2c015bf730f33409";"58344";"Wed Jul 15 17:23:33 2020"
"biolitec AG Jena";"Rechnungslegung/ Finanzberichte";"» Konzern-Quartalsbericht vom 1. Juli 2006 bis zum 31. März 2007";"29.08.2007";"5%";"af75d5dc888ac79ae50ee77806ec50af";"5f0482adcb988ccd";"58344";"Wed Jul 15 17:23:33 2020"
"Beta Systems Software AG Berlin";"Rechnungslegung/ Finanzberichte";"» Quartalsbericht über das 1. Quartal 2007";"02.07.2007";"5%";"af75d5dc888ac79ae50ee77806ec50af";"360506cb320cab14";"58344";"Wed Jul 15 17:23:33 2020"
"biolitec AG Jena";"Rechnungslegung/ Finanzberichte";"» 6 Monatsbericht 2006/2007";"28.03.2007";"5%";"af75d5dc888ac79ae50ee77806ec50af";"c0d23270ce5444f8";"58344";"Wed Jul 15 17:23:33 2020"
