"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"EMWEG Industriedienstleistungen GmbH Dessau-Roßlau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"24.01.2020";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"8824f9dae8dbcc5e";"18416";"Wed Jul 15 15:59:01 2020"
"EMWEG Industriedienstleistungen GmbH Dessau-Roßlau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"25.02.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"50421da88fa9a68a";"18416";"Wed Jul 15 15:59:01 2020"
"EMWEG Industriedienstleistungen GmbH Dessau-Roßlau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"15.03.2018";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"6d5d69df63c3a3a6";"18416";"Wed Jul 15 15:59:01 2020"
"EMWEG Industriedienstleistungen GmbH Dessau-Roßlau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"10.03.2017";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"6146778168d4052a";"18416";"Wed Jul 15 15:59:01 2020"
"EMWEG Industriedienstleistungen GmbH Dessau-Roßlau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"29.02.2016";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"4e74cbd594018ada";"18416";"Wed Jul 15 15:59:01 2020"
"EMWEG Industriedienstleistungen GmbH Dessau-Roßlau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"02.03.2015";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"d9195e785f4f86a8";"18416";"Wed Jul 15 15:59:01 2020"
"EMWEG Industriedienstleistungen GmbH Dessau-Roßlau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"02.05.2014";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"b562a11ea41f9ca9";"18416";"Wed Jul 15 15:59:01 2020"
"EMWEG Industriedienstleistungen GmbH Dessau-Roßlau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"03.04.2013";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"ccf9fea6b1b417fc";"18416";"Wed Jul 15 15:59:01 2020"
"EMWEG Industriedienstleistungen GmbH Dessau-Roßlau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"02.03.2012";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"2a2ba1b87e32c6f7";"18416";"Wed Jul 15 15:59:01 2020"
"EMWEG Industriedienstleistungen GmbH Dessau-Roßlau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2009 bis zum 31.12.2009";"16.02.2011";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"10ffacb05c3fcc2f";"18416";"Wed Jul 15 15:59:01 2020"
"EMWEG Industriedienstleistungen GmbH Dessau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2008 bis zum 31.12.2008";"23.12.2009";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"d7fcdc2ea11da761";"18416";"Wed Jul 15 15:59:01 2020"
"EMWEG Industriedienstleistungen GmbH Dessau";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2007 bis zum 31.12.2007";"16.01.2009";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"8c0b70f616859643";"18416";"Wed Jul 15 15:59:01 2020"
"EMWEG Industriedienstleistungen GmbH Dessau-Roßlau Saarstr. 21";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum 31.12.2006";"13.02.2008";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"6eb40be536a5a0e0";"18416";"Wed Jul 15 15:59:01 2020"
