"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"EXOP GmbH Konstanz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"20.01.2020";"100%";"61aebb4bfd3899b23e2c1374ebe7c217";"dfdbd85729d991d6";"09190";"Mon Jul 13 15:33:28 2020"
"EXOP GmbH Konstanz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"29.05.2018";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"421f1aad4c754a04";"09190";"Mon Jul 13 15:33:28 2020"
"EXOP GmbH Konstanz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2016 bis zum 31.12.2016";"14.11.2017";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"e1f54d0a5f2a163b";"09190";"Mon Jul 13 15:33:28 2020"
"EXOP GmbH Konstanz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2015 bis zum 31.12.2015";"27.04.2017";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"79673713489a5966";"09190";"Mon Jul 13 15:33:28 2020"
"EXOP GmbH Konstanz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2014 bis zum 31.12.2014";"05.02.2016";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"bf4c9d90c8fe78db";"09190";"Mon Jul 13 15:33:28 2020"
"EXOP GmbH Konstanz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2013 bis zum 31.12.2013";"04.02.2015";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"2f3402e977aa084e";"09190";"Mon Jul 13 15:33:28 2020"
"EXOP GmbH Konstanz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012";"04.12.2013";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"59a8bc48c19d7a02";"09190";"Mon Jul 13 15:33:28 2020"
"Exop Warenhandelsgesellschaft mbH Kerken";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"29.05.2013";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"142affd097045050";"09190";"Mon Jul 13 15:33:28 2020"
"EXOP GmbH Konstanz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2011 bis zum 31.12.2011";"18.07.2012";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"fdf922c7b26840d6";"09190";"Mon Jul 13 15:33:28 2020"
"Exop Warenhandelsgesellschaft mbH Kerken";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"12.04.2012";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"288c90aea49fe408";"09190";"Mon Jul 13 15:33:28 2020"
"EXOP GmbH Konstanz";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2010 bis zum 31.12.2010";"13.01.2012";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"f833ae2d06da7b12";"09190";"Mon Jul 13 15:33:28 2020"
"Exop Warenhandelsgesellschaft mbH Kerken";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 23.04.2009 bis zum 31.12.2009";"10.02.2011";"92%";"61aebb4bfd3899b23e2c1374ebe7c217";"6c89da947dddd7b0";"09190";"Mon Jul 13 15:33:28 2020"
